year,tercile,n_pitchers,total_opportunities,total_attempts,total_sb,total_cs,league_attempt_rate,league_sb_pct,mean_attempt_rate,mean_sb_pct
2018,All,277,74223,1072,751,321,0.014442962424046454,0.7005597014925373,0.014328316037888443,0.6834616281824628
2018,T1,89,30795,410,258,152,0.013313849650917357,0.6292682926829268,0.012827888325376463,0.6184623248703904
2018,T2,80,23065,353,262,91,0.015304574029915457,0.7422096317280453,0.014950778787608901,0.7221803221916344
2018,T3,108,20363,309,231,78,0.015174581348524284,0.7475728155339806,0.015103696097480388,0.7153620287521216
2019,All,338,84084,1146,847,299,0.0136292279149422,0.7390924956369983,0.013679850500944623,0.7116022389616747
2019,T1,106,33572,407,285,122,0.012123197903014417,0.7002457002457002,0.011919024436919883,0.6321352303828662
2019,T2,102,25403,374,275,99,0.014722670550722355,0.7352941176470589,0.013968639575787388,0.7048460291610977
2019,T3,130,25109,365,287,78,0.014536620335337926,0.7863013698630137,0.014889012632888164,0.7887324079429343
2020,All,369,35731,493,364,129,0.013797542749993003,0.7383367139959433,0.020276429500136535,0.7178474799010514
2020,T1,118,14461,194,143,51,0.013415393126339811,0.7371134020618557,0.017145331466318334,0.7186916154021418
2020,T2,114,11232,161,117,44,0.014334045584045585,0.7267080745341615,0.023847337370618338,0.6947264856355765
2020,T3,137,10038,138,104,34,0.013747758517632994,0.7536231884057971,0.020001875272075385,0.7420187793427231
2021,All,482,111634,1434,1080,354,0.012845548847125427,0.7531380753138075,0.013143447063894488,0.7358622211527912
2021,T1,155,46138,517,365,152,0.011205513893103298,0.7059961315280464,0.01198530459252544,0.6887354688260642
2021,T2,154,32720,440,343,97,0.013447432762836185,0.7795454545454545,0.014180727429070337,0.7526035641989589
2021,T3,173,32776,477,372,105,0.014553331706126434,0.779874213836478,0.013257729762305591,0.7666116922852513
2022,All,594,141871,2131,1615,516,0.015020687807938197,0.7578601595495073,0.015382230951158196,0.7396714867184011
2022,T1,198,56724,778,562,216,0.013715534870601509,0.7223650385604113,0.013485323273730183,0.7023362737508215
2022,T2,198,46202,678,527,151,0.014674689407384962,0.7772861356932154,0.01502827574838803,0.7426372109601923
2022,T3,198,38945,675,526,149,0.0173321350622673,0.7792592592592592,0.017633093831356386,0.7741979843746372
2023,All,485,109018,2163,1750,413,0.019840760241428022,0.8090614886731392,0.022214858616879767,0.7766639957185834
2023,T1,166,44065,803,626,177,0.018223079541586293,0.7795765877957659,0.019427585241740083,0.729518539142834
2023,T2,156,35014,631,515,116,0.01802136288341806,0.8161648177496038,0.01973733298303436,0.7886049930748074
2023,T3,163,29939,729,609,120,0.02434951067169912,0.8353909465020576,0.02742456032947529,0.8143024709599864
2024,All,398,86858,1926,1534,392,0.022174123281678143,0.7964693665628245,0.02368112013700451,0.7872085807101981
2024,T1,144,34648,696,532,164,0.020087739552066497,0.764367816091954,0.021740437539476274,0.7508730481832914
2024,T2,123,29003,635,507,128,0.021894286797917457,0.7984251968503937,0.023092528699083483,0.7895771268008761
2024,T3,131,23207,595,495,100,0.025638815874520618,0.8319327731092437,0.026367036479816353,0.8222882190273494
