season,sport_id,game_pk,game_date,status,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name
2014,12,383692,2014-04-03T23:15:00Z,Final,498,Chattanooga Lookouts,104,Jackson Generals,2682,AT&T Field
2014,12,383693,2014-04-03T23:05:00Z,Final,564,Jacksonville Suns,559,Huntsville Stars,2852,The Baseball Grounds of Jacksonville
2014,12,383694,2014-04-04T00:00:00Z,Final,430,Mississippi Braves,417,Mobile BayBears,2813,Trustmark Park
2014,12,383695,2014-04-04T00:05:00Z,Final,421,Montgomery Biscuits,247,Birmingham Barons,2814,Montgomery Riverwalk Stadium
2014,12,383696,2014-04-03T23:30:00Z,Final,4124,Pensacola Blue Wahoos,553,Tennessee Smokies,4329,Pensacola Bayfront Stadium
2014,12,383697,2014-04-04T23:15:00Z,Final,498,Chattanooga Lookouts,104,Jackson Generals,2682,AT&T Field
2014,12,383698,2014-04-04T23:05:00Z,Final,564,Jacksonville Suns,559,Huntsville Stars,2852,The Baseball Grounds of Jacksonville
2014,12,383699,2014-04-05T00:00:00Z,Final,430,Mississippi Braves,417,Mobile BayBears,2813,Trustmark Park
2014,12,383700,2014-04-05T00:05:00Z,Final,421,Montgomery Biscuits,247,Birmingham Barons,2814,Montgomery Riverwalk Stadium
2014,12,383701,2014-04-04T23:30:00Z,Final,4124,Pensacola Blue Wahoos,553,Tennessee Smokies,4329,Pensacola Bayfront Stadium
2014,12,383702,2014-04-05T23:15:00Z,Final,498,Chattanooga Lookouts,104,Jackson Generals,2682,AT&T Field
2014,12,383703,2014-04-05T23:05:00Z,Postponed,564,Jacksonville Suns,559,Huntsville Stars,2852,The Baseball Grounds of Jacksonville
2014,12,383704,2014-04-05T23:00:00Z,Final,430,Mississippi Braves,417,Mobile BayBears,2813,Trustmark Park
2014,12,383705,2014-04-05T23:35:00Z,Final,421,Montgomery Biscuits,247,Birmingham Barons,2814,Montgomery Riverwalk Stadium
2014,12,383706,2014-04-05T23:30:00Z,Completed Early: Wet Grounds,4124,Pensacola Blue Wahoos,553,Tennessee Smokies,4329,Pensacola Bayfront Stadium
2014,12,383707,2014-04-06T18:15:00Z,Final,498,Chattanooga Lookouts,104,Jackson Generals,2682,AT&T Field
2014,12,383708,2014-04-06T19:05:00Z,Final,564,Jacksonville Suns,559,Huntsville Stars,2852,The Baseball Grounds of Jacksonville
2014,12,383709,2014-04-06T18:00:00Z,Postponed,430,Mississippi Braves,417,Mobile BayBears,2813,Trustmark Park
2014,12,383710,2014-04-06T19:05:00Z,Postponed,421,Montgomery Biscuits,247,Birmingham Barons,2814,Montgomery Riverwalk Stadium
2014,12,383711,2014-04-06T21:00:00Z,Final,4124,Pensacola Blue Wahoos,553,Tennessee Smokies,4329,Pensacola Bayfront Stadium
2014,12,383712,2014-04-07T23:15:00Z,Final,498,Chattanooga Lookouts,104,Jackson Generals,2682,AT&T Field
2014,12,383713,2014-04-07T23:05:00Z,Final,564,Jacksonville Suns,559,Huntsville Stars,2852,The Baseball Grounds of Jacksonville
2014,12,383714,2014-04-07T22:30:00Z,Final,430,Mississippi Braves,417,Mobile BayBears,2813,Trustmark Park
2014,12,383715,2014-04-07T20:00:00Z,Final,421,Montgomery Biscuits,247,Birmingham Barons,2814,Montgomery Riverwalk Stadium
2014,12,383716,2014-04-07T23:30:00Z,Final,4124,Pensacola Blue Wahoos,553,Tennessee Smokies,4329,Pensacola Bayfront Stadium
2014,12,383717,2014-04-10T00:05:00Z,Final,247,Birmingham Barons,564,Jacksonville Suns,4529,Regions Field
2014,12,383718,2014-04-09T23:30:00Z,Final,559,Huntsville Stars,4124,Pensacola Blue Wahoos,2789,Joe W. Davis Municipal Stadium
2014,12,383719,2014-04-10T00:05:00Z,Final,104,Jackson Generals,430,Mississippi Braves,2833,Generals Park
2014,12,383720,2014-04-10T00:05:00Z,Final,417,Mobile BayBears,421,Montgomery Biscuits,2780,Hank Aaron Stadium
2014,12,383721,2014-04-09T23:15:00Z,Final,553,Tennessee Smokies,498,Chattanooga Lookouts,2848,Smokies Park
2014,12,383722,2014-04-11T00:05:00Z,Final,247,Birmingham Barons,564,Jacksonville Suns,4529,Regions Field
2014,12,383723,2014-04-10T23:30:00Z,Final,559,Huntsville Stars,4124,Pensacola Blue Wahoos,2789,Joe W. Davis Municipal Stadium
2014,12,383724,2014-04-11T00:05:00Z,Final,104,Jackson Generals,430,Mississippi Braves,2833,Generals Park
2014,12,383725,2014-04-11T00:05:00Z,Final,417,Mobile BayBears,421,Montgomery Biscuits,2780,Hank Aaron Stadium
2014,12,383726,2014-04-10T15:30:00Z,Final,553,Tennessee Smokies,498,Chattanooga Lookouts,2848,Smokies Park
2014,12,383727,2014-04-12T00:05:00Z,Final,247,Birmingham Barons,564,Jacksonville Suns,4529,Regions Field
2014,12,383728,2014-04-11T23:30:00Z,Final,559,Huntsville Stars,4124,Pensacola Blue Wahoos,2789,Joe W. Davis Municipal Stadium
2014,12,383729,2014-04-12T00:05:00Z,Final,104,Jackson Generals,430,Mississippi Braves,2833,Generals Park
2014,12,383730,2014-04-12T00:05:00Z,Final,417,Mobile BayBears,421,Montgomery Biscuits,2780,Hank Aaron Stadium
2014,12,383731,2014-04-11T23:15:00Z,Final,553,Tennessee Smokies,498,Chattanooga Lookouts,2848,Smokies Park
2014,12,383732,2014-04-12T23:30:00Z,Final,247,Birmingham Barons,564,Jacksonville Suns,4529,Regions Field
