season,sport_id,game_pk,game_date,status,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name
2014,13,386032,2014-04-03T22:30:00Z,Final,2730,Charlotte Stone Crabs,3390,Bradenton Marauders,2534,Charlotte Sports Park
2014,13,386036,2014-04-03T22:30:00Z,Final,424,Dunedin Blue Jays,566,Clearwater Threshers,2536,Florida Auto Exchange Stadium
2014,13,386038,2014-04-03T22:35:00Z,Final,503,Brevard County Manatees,450,Daytona Cubs,2513,Space Coast Stadium
2014,13,386040,2014-04-03T22:05:00Z,Final,481,Lynchburg Hillcats,493,Frederick Keys,2803,Calvin Falwell Field
2014,13,386041,2014-04-03T22:35:00Z,Final,479,Jupiter Hammerheads,509,Fort Myers Miracle,2520,Roger Dean Stadium
2014,13,386043,2014-04-04T02:05:00Z,Final,504,High Desert Mavericks,401,Inland Empire 66ers,2806,Heritage Field
2014,13,386045,2014-04-04T01:30:00Z,Final,491,Lancaster JetHawks,103,Lake Elsinore Storm,2799,The Hangar
2014,13,386047,2014-04-04T02:15:00Z,Final,423,Bakersfield Blaze,515,Modesto Nuts,2841,Sam Lynn Ballpark
2014,13,386048,2014-04-03T22:30:00Z,Final,507,St. Lucie Mets,279,Palm Beach Cardinals,2856,Tradition Field
2014,13,386050,2014-04-03T23:00:00Z,Final,249,Carolina Mudcats,436,Potomac Nationals,2625,Five County Stadium
2014,13,386052,2014-04-03T23:05:00Z,Final,521,Myrtle Beach Pelicans,414,Salem Red Sox,2747,TicketReturn.com Field
2014,13,386053,2014-04-04T02:05:00Z,Final,526,Rancho Cucamonga Quakes,476,San Jose Giants,2854,LoanMart Field
2014,13,386055,2014-04-04T02:00:00Z,Final,516,Visalia Rawhide,524,Stockton Ports,2835,Recreation Park
2014,13,386057,2014-04-03T22:30:00Z,Final,570,Lakeland Flying Tigers,587,Tampa Yankees,2511,Joker Marchant Stadium
2014,13,386058,2014-04-03T23:00:00Z,Final,580,Winston-Salem Dash,426,Wilmington Blue Rocks,4089,BB&T Ballpark
2014,13,386073,2014-04-04T22:30:00Z,Final,2730,Charlotte Stone Crabs,3390,Bradenton Marauders,2534,Charlotte Sports Park
2014,13,386074,2014-04-04T23:05:00Z,Final,450,Daytona Cubs,503,Brevard County Manatees,2787,Jackie Robinson Ballpark
2014,13,386080,2014-04-04T22:30:00Z,Final,566,Clearwater Threshers,424,Dunedin Blue Jays,2700,Bright House Field
2014,13,386081,2014-04-04T22:05:00Z,Final,481,Lynchburg Hillcats,493,Frederick Keys,2803,Calvin Falwell Field
2014,13,386082,2014-04-04T22:35:00Z,Final,479,Jupiter Hammerheads,509,Fort Myers Miracle,2520,Roger Dean Stadium
2014,13,386084,2014-04-05T02:05:00Z,Final,504,High Desert Mavericks,401,Inland Empire 66ers,2806,Heritage Field
2014,13,386086,2014-04-04T23:00:00Z,Final,587,Tampa Yankees,570,Lakeland Flying Tigers,2523,George M. Steinbrenner Field
2014,13,386088,2014-04-05T01:30:00Z,Final,491,Lancaster JetHawks,103,Lake Elsinore Storm,2799,The Hangar
2014,13,386090,2014-04-05T02:15:00Z,Final,423,Bakersfield Blaze,515,Modesto Nuts,2841,Sam Lynn Ballpark
2014,13,386091,2014-04-04T22:30:00Z,Final,507,St. Lucie Mets,279,Palm Beach Cardinals,2856,Tradition Field
2014,13,386093,2014-04-04T23:00:00Z,Final,249,Carolina Mudcats,436,Potomac Nationals,2625,Five County Stadium
2014,13,386095,2014-04-04T23:05:00Z,Final,521,Myrtle Beach Pelicans,414,Salem Red Sox,2747,TicketReturn.com Field
2014,13,386096,2014-04-05T02:05:00Z,Final,526,Rancho Cucamonga Quakes,476,San Jose Giants,2854,LoanMart Field
2014,13,386098,2014-04-05T02:00:00Z,Final,516,Visalia Rawhide,524,Stockton Ports,2835,Recreation Park
2014,13,386100,2014-04-04T23:00:00Z,Final,580,Winston-Salem Dash,426,Wilmington Blue Rocks,4089,BB&T Ballpark
2014,13,386118,2014-04-05T22:30:00Z,Final,3390,Bradenton Marauders,2730,Charlotte Stone Crabs,2526,McKechnie Field
2014,13,386120,2014-04-05T22:30:00Z,Final,424,Dunedin Blue Jays,566,Clearwater Threshers,2536,Florida Auto Exchange Stadium
2014,13,386122,2014-04-05T22:35:00Z,Final,503,Brevard County Manatees,450,Daytona Cubs,2513,Space Coast Stadium
2014,13,386124,2014-04-05T22:05:00Z,Final,481,Lynchburg Hillcats,493,Frederick Keys,2803,Calvin Falwell Field
2014,13,386126,2014-04-06T02:05:00Z,Final,504,High Desert Mavericks,401,Inland Empire 66ers,2806,Heritage Field
2014,13,386127,2014-04-05T22:05:00Z,Final,509,Fort Myers Miracle,479,Jupiter Hammerheads,2862,Hammond Stadium
2014,13,386131,2014-04-06T01:00:00Z,Final,491,Lancaster JetHawks,103,Lake Elsinore Storm,2799,The Hangar
2014,13,386133,2014-04-06T02:15:00Z,Final,423,Bakersfield Blaze,515,Modesto Nuts,2841,Sam Lynn Ballpark
