season,sport_id,game_pk,game_date,status,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name
2015,11,418545,2015-04-09T23:05:00Z,Final,484,Indianapolis Indians,445,Columbus Clippers,2858,Victory Field
2015,11,418547,2015-04-09T23:05:00Z,Final,431,Gwinnett Braves,234,Durham Bulls,3810,Coolray Field
2015,11,418550,2015-04-09T23:05:00Z,Final,494,Charlotte Knights,568,Norfolk Tides,4670,BB&T Ballpark
2015,11,418552,2015-04-09T23:05:00Z,Final,1410,Lehigh Valley IronPigs,533,Pawtucket Red Sox,3230,Coca-Cola Park
2015,11,418554,2015-04-09T18:05:00Z,Final,422,Buffalo Bisons,534,Rochester Red Wings,2756,Coca-Cola Field
2015,11,418558,2015-04-09T23:05:00Z,Final,531,Scranton/Wilkes-Barre RailRiders,552,Syracuse Chiefs,2797,PNC Field
2015,11,418559,2015-04-09T22:35:00Z,Final,416,Louisville Bats,512,Toledo Mud Hens,2724,Louisville Slugger Field
2015,11,418561,2015-04-10T23:15:00Z,Final,484,Indianapolis Indians,445,Columbus Clippers,2858,Victory Field
2015,11,418563,2015-04-10T23:05:00Z,Final,431,Gwinnett Braves,234,Durham Bulls,3810,Coolray Field
2015,11,418566,2015-04-10T23:05:00Z,Final,494,Charlotte Knights,568,Norfolk Tides,4670,BB&T Ballpark
2015,11,418568,2015-04-10T23:05:00Z,Final,1410,Lehigh Valley IronPigs,533,Pawtucket Red Sox,3230,Coca-Cola Park
2015,11,418570,2015-04-10T18:05:00Z,Postponed,422,Buffalo Bisons,534,Rochester Red Wings,2756,Coca-Cola Field
2015,11,418574,2015-04-10T23:05:00Z,Final,531,Scranton/Wilkes-Barre RailRiders,552,Syracuse Chiefs,2797,PNC Field
2015,11,418575,2015-04-10T22:35:00Z,Final,416,Louisville Bats,512,Toledo Mud Hens,2724,Louisville Slugger Field
2015,11,418577,2015-04-11T17:35:00Z,Final,534,Rochester Red Wings,422,Buffalo Bisons,2773,Frontier Field
2015,11,418578,2015-04-11T23:05:00Z,Final,484,Indianapolis Indians,445,Columbus Clippers,2858,Victory Field
2015,11,418580,2015-04-11T23:05:00Z,Final,431,Gwinnett Braves,234,Durham Bulls,3810,Coolray Field
