game_id,game_date,at_bat_index,inning,half_inning,balls,strikes,outs,batter_id,runner_id,start_base,end_base,is_out,out_number,runner_event,runner_event_type,movement_reason,is_scoring_event,rbi,earned
632250,2021-10-01,0,1,top,4,2,0,663697,663697,,1B,False,,Walk,walk,,False,False,False
632250,2021-10-01,1,1,top,1,1,1,621011,621011,,,True,1.0,Lineout,field_out,,False,False,False
632250,2021-10-01,2,1,top,4,2,1,592206,663697,1B,2B,False,,Walk,walk,r_adv_force,False,False,False
632250,2021-10-01,2,1,top,4,2,1,592206,592206,,1B,False,,Walk,walk,,False,False,False
632250,2021-10-01,3,1,top,0,0,2,458015,458015,,,True,2.0,Pop Out,field_out,,False,False,False
632250,2021-10-01,4,1,top,1,0,3,553993,553993,,,True,3.0,Flyout,field_out,,False,False,False
632250,2021-10-01,5,1,bottom,1,0,0,657061,657061,,3B,False,,Triple,triple,,False,False,False
632250,2021-10-01,6,1,bottom,2,1,1,660294,660294,,,True,1.0,Groundout,field_out,,False,False,False
632250,2021-10-01,6,1,bottom,2,1,1,660294,657061,3B,score,False,,Groundout,field_out,r_adv_play,True,True,True
632250,2021-10-01,7,1,bottom,0,3,2,592325,592325,,,True,2.0,Strikeout,strikeout,,False,False,False
632250,2021-10-01,8,1,bottom,2,2,3,592567,592567,,,True,3.0,Groundout,field_out,,False,False,False
632250,2021-10-01,9,2,top,0,3,1,571466,571466,,,True,1.0,Strikeout,strikeout,,False,False,False
632250,2021-10-01,10,2,top,1,3,2,676480,676480,,,True,2.0,Strikeout,strikeout,,False,False,False
632250,2021-10-01,11,2,top,2,3,3,670770,670770,,,True,3.0,Strikeout,strikeout,,False,False,False
632250,2021-10-01,12,2,bottom,0,0,1,546990,546990,,,True,1.0,Groundout,field_out,,False,False,False
632250,2021-10-01,13,2,bottom,2,2,1,605421,605421,,1B,False,,Single,single,,False,False,False
632250,2021-10-01,14,2,bottom,1,1,1,621028,621028,,1B,False,,Single,single,,False,False,False
632250,2021-10-01,14,2,bottom,1,1,1,621028,605421,1B,2B,False,,Single,single,r_adv_force,False,False,False
632250,2021-10-01,15,2,bottom,4,2,1,660829,605421,2B,3B,False,,Walk,walk,r_adv_force,False,False,False
632250,2021-10-01,15,2,bottom,4,2,1,660829,621028,1B,2B,False,,Walk,walk,r_adv_force,False,False,False
632250,2021-10-01,15,2,bottom,4,2,1,660829,660829,,1B,False,,Walk,walk,,False,False,False
632250,2021-10-01,16,2,bottom,1,3,2,640444,640444,,,True,2.0,Strikeout,strikeout,,False,False,False
632250,2021-10-01,17,2,bottom,2,2,3,657061,657061,,,True,3.0,Groundout,field_out,,False,False,False
632250,2021-10-01,18,3,top,0,0,0,622491,622491,,1B,False,,Single,single,,False,False,False
632250,2021-10-01,19,3,top,1,0,1,663697,663697,,,True,1.0,Pop Out,field_out,,False,False,False
632250,2021-10-01,20,3,top,1,1,2,621011,621011,,,True,2.0,Lineout,field_out,,False,False,False
632250,2021-10-01,21,3,top,0,3,3,592206,592206,,,True,3.0,Strikeout,strikeout,,False,False,False
