"entity_id","entity_name","year","pitches","all_violations","pitcher_timer","batter_timer","batter_timeout","catcher_timer","defensive_shift"
681624,"Pages, Andy",2024,1810,5,0,5,0,0,0
545121,"Vargas, Ildemaro",2024,1063,4,0,4,0,0,0
592206,"Castellanos, Nick",2024,2403,3,0,3,0,0,0
663662,"Cameron, Daz",2024,718,3,0,2,1,0,0
665742,"Soto, Juan",2024,3255,3,0,3,0,0,0
665833,"Cruz, Oneil",2024,2404,3,0,3,0,0,0
669289,"Espinal, Santiago",2024,1512,3,0,3,0,0,0
670541,"Alvarez, Yordan",2024,2359,3,0,3,0,0,0
453568,"Blackmon, Charlie",2024,1931,2,0,2,0,0,0
541645,"García, Avisaíl",2024,188,2,0,1,1,0,0
545341,"Grichuk, Randal",2024,1091,2,0,2,0,0,0
572138,"Singleton, Jon",2024,1638,2,0,2,0,0,0
593428,"Bogaerts, Xander",2024,1899,2,0,2,0,0,0
621493,"Ward, Taylor",2024,2601,2,0,2,0,0,0
665506,"Pache, Cristian",2024,756,2,0,2,0,0,0
665828,"Cabrera, Oswaldo",2024,1309,2,0,2,0,0,0
670092,"Brooks, Trenton",2024,112,2,0,2,0,0,0
672761,"Pérez, Wenceel",2024,1829,2,0,2,0,0,0
676694,"Meyers, Jake",2024,1826,2,0,2,0,0,0
681351,"O'Hoppe, Logan",2024,1985,2,0,2,0,0,0
500743,"Rojas, Miguel",2024,1261,1,0,1,0,0,0
542303,"Ozuna, Marcell",2024,2914,1,0,1,0,0,0
543510,"McCann, James",2024,888,1,0,1,0,0,0
571657,"Farmer, Kyle",2024,888,1,0,1,0,0,0
572191,"Taylor, Michael A.",2024,1206,1,0,1,0,0,0
578428,"Iglesias, Jose",2024,1262,1,0,1,0,0,0
592696,"Rosario, Eddie",2024,1189,1,0,1,0,0,0
593934,"Sanó, Miguel",2024,403,1,0,1,0,0,0
594807,"Duvall, Adam",2024,1254,1,0,1,0,0,0
595777,"Profar, Jurickson",2024,2868,1,0,1,0,0,0
595879,"Báez, Javier",2024,1033,1,0,1,0,0,0
595909,"Cave, Jake",2024,1351,1,0,1,0,0,0
602104,"Urías, Ramón",2024,1172,1,0,1,0,0,0
605204,"Davis, J.D.",2024,589,1,0,1,0,0,0
607043,"Nimmo, Brandon",2024,2983,1,0,1,0,0,0
608348,"Kelly, Carson",2024,1174,1,0,1,0,0,0
608385,"Winker, Jesse",2024,2206,1,0,1,0,0,0
608596,"Murphy, Tom",2024,153,1,0,1,0,0,0
621545,"Remillard, Zach",2024,152,1,0,1,0,0,0
622569,"Reyes, Pablo",2024,253,1,0,1,0,0,0
624413,"Alonso, Pete",2024,3049,1,0,1,0,0,0
624431,"Trevino, Jose",2024,913,1,0,1,0,0,0
641432,"Calhoun, Willie",2024,963,1,0,1,0,0,0
641933,"O'Neill, Tyler",2024,2003,1,0,1,0,0,0
642180,"Wade, Tyler",2024,588,1,0,1,0,0,0
642708,"Rosario, Amed",2024,1212,1,0,1,0,0,0
645277,"Albies, Ozzie",2024,1686,1,0,0,1,0,0
645302,"Robles, Victor",2024,1021,1,0,1,0,0,0
649966,"Urías, Luis",2024,454,1,0,1,0,0,0
650402,"Torres, Gleyber",2024,3103,1,0,1,0,0,0
650859,"Rengifo, Luis",2024,1086,1,0,1,0,0,0
656305,"Chapman, Matt",2024,2722,1,0,1,0,0,0
656577,"Jackson, Alex",2024,627,1,0,1,0,0,0
657077,"Verdugo, Alex",2024,2567,1,0,1,0,0,0
658668,"Olivares, Edward",2024,770,1,0,1,0,0,0
660688,"Ruiz, Keibert",2024,1662,1,0,1,0,0,0
660766,"Yepez, Juan",2024,967,1,0,1,0,0,0
660821,"Sánchez, Jesús",2024,2002,1,0,0,1,0,0
662139,"Varsho, Daulton",2024,2054,1,0,1,0,0,0
663538,"Hoerner, Nico",2024,2319,1,0,1,0,0,0
663656,"Tucker, Kyle",2024,1390,1,0,1,0,0,0
663698,"Bart, Joey",2024,1132,1,0,1,0,0,0
663743,"Fortes, Nick",2024,1155,1,0,1,0,0,0
663757,"Grisham, Trent",2024,857,1,0,1,0,0,0
664056,"Bader, Harrison",2024,1693,1,0,1,0,0,0
664238,"Moore, Dylan",2024,1809,1,0,1,0,0,0
664728,"Isbel, Kyle",2024,1651,1,0,1,0,0,0
664901,"Mendick, Danny",2024,542,1,0,1,0,0,0
664983,"McCarthy, Jake",2024,1792,1,0,1,0,0,0
665750,"Taveras, Leody",2024,2009,1,0,1,0,0,0
665804,"Amaya, Miguel",2024,1293,1,0,1,0,0,0
665926,"Giménez, Andrés",2024,2557,1,0,1,0,0,0
666135,"Kirilloff, Alex",2024,678,1,0,1,0,0,0
666158,"Lux, Gavin",2024,2092,1,0,1,0,0,0
666163,"Rortvedt, Ben",2024,1358,1,0,1,0,0,0
666182,"Bichette, Bo",2024,1193,1,0,1,0,0,0
666915,"Dalbec, Bobby",2024,415,1,0,1,0,0,0
667452,"Julks, Corey",2024,769,1,0,1,0,0,0
668709,"Bleday, JJ",2024,2496,1,0,1,0,0,0
668904,"Lewis, Royce",2024,1242,1,0,1,0,0,0
668930,"Turang, Brice",2024,2528,1,0,1,0,0,0
669016,"Marsh, Brandon",2024,2062,1,0,1,0,0,0
669221,"Murphy, Sean",2024,1087,1,0,1,0,0,0
671213,"Casas, Triston",2024,1004,1,0,1,0,0,0
672386,"Kirk, Alejandro",2024,1501,1,0,1,0,0,0
672640,"Lopez, Otto",2024,1547,1,0,1,0,0,0
673237,"Diaz, Yainer",2024,2162,1,0,0,1,0,0
673548,"Suzuki, Seiya",2024,2520,1,0,1,0,0,0
676070,"Amaya, Jacob",2024,302,1,0,1,0,0,0
676113,"DeLoach, Zach",2024,299,1,0,1,0,0,0
676356,"DeLuca, Jonny",2024,1350,1,0,1,0,0,0
677588,"Tena, José",2024,674,1,0,1,0,0,0
677594,"Rodríguez, Julio",2024,2389,1,0,1,0,0,0
677941,"Adams, Jordyn",2024,159,1,0,1,0,0,0
677956,"Hinds, Rece",2024,184,1,0,1,0,0,0
678009,"Meadows, Parker",2024,1324,1,0,1,0,0,0
679845,"Loftin, Nick",2024,627,1,0,1,0,0,0
680728,"Del Castillo, Adrian",2024,337,1,0,1,0,0,0
682641,"Matos, Luis",2024,547,1,0,1,0,0,0
682829,"De La Cruz, Elly",2024,2762,1,0,1,0,0,0
683002,"Henderson, Gunnar",2024,2944,1,0,1,0,0,0
683734,"Vaughn, Andrew",2024,2338,1,0,1,0,0,0
686217,"Frelick, Sal",2024,2087,1,0,1,0,0,0
686611,"Crews, Dylan",2024,521,1,0,1,0,0,0
687401,"Ortiz, Joey",2024,2178,1,0,1,0,0,0
687462,"Horwitz, Spencer",2024,1588,1,0,1,0,0,0
691406,"Caminero, Junior",2024,637,1,0,1,0,0,0
694192,"Chourio, Jackson",2024,2163,1,0,1,0,0,0
