"entity_id","entity_name","year","pitches","all_violations","pitcher_timer","batter_timer","batter_timeout","catcher_timer","defensive_shift"
640448,"Finnegan, Kyle",2024,1087,11,11,0,0,0,0
592351,"Gray, Jon",2024,1635,8,8,0,0,0,0
605135,"Bassitt, Chris",2024,2976,8,8,0,0,0,0
500779,"Quintana, Jose",2024,3093,7,7,0,0,0,0
625643,"López, Reynaldo",2024,2117,7,7,0,0,0,0
660853,"De Los Santos, Enyel",2024,1138,7,7,0,0,0,0
593423,"Montas, Frankie",2024,2698,5,5,0,0,0,0
595881,"Beede, Tyler",2024,271,5,5,0,0,0,0
664285,"Valdez, Framber",2024,2683,5,5,0,0,0,0
808967,"Yamamoto, Yoshinobu",2024,1756,5,5,0,0,0,0
684007,"Imanaga, Shota",2024,2594,4,3,0,0,1,0
450203,"Morton, Charlie",2024,2796,4,4,0,0,0,0
506433,"Darvish, Yu",2024,1424,4,4,0,0,0,0
519326,"Strickland, Hunter",2024,1166,4,4,0,0,0,0
527048,"Pérez, Martín",2024,2208,4,4,0,0,0,0
544150,"Suárez, Albert",2024,2242,4,4,0,0,0,0
592426,"Jackson, Luke",2024,943,4,4,0,0,0,0
593958,"Rodriguez, Eduardo",2024,871,4,4,0,0,0,0
594902,"Lively, Ben",2024,2436,4,4,0,0,0,0
607200,"Fedde, Erick",2024,2895,4,4,0,0,0,0
623211,"Brazobán, Huascar",2024,903,4,4,0,0,0,0
642547,"Peralta, Freddy",2024,3151,4,4,0,0,0,0
656756,"Montgomery, Jordan",2024,1941,4,4,0,0,0,0
657571,"Ferguson, Caleb",2024,949,4,4,0,0,0,0
663474,"McKenzie, Triston",2024,1309,4,4,0,0,0,0
666808,"Doval, Camilo",2024,1124,4,4,0,0,0,0
673513,"Matsui, Yuki",2024,1077,4,4,0,0,0,0
681293,"Arrighetti, Spencer",2024,2509,4,4,0,0,0,0
680573,"Woods Richardson, Simeon",2024,2298,3,2,0,0,0,1
518886,"Kimbrel, Craig",2024,969,3,3,0,0,0,0
543037,"Cole, Gerrit",2024,1993,3,3,0,0,0,0
571760,"Heaney, Andrew",2024,2739,3,3,0,0,0,0
571882,"Law, Derek",2024,1371,3,3,0,0,0,0
593974,"Peralta, Wandy",2024,639,3,3,0,0,0,0
600986,"Vieira, Thyago",2024,742,3,3,0,0,0,0
605400,"Nola, Aaron",2024,3280,3,3,0,0,0,0
656849,"Peterson, David",2024,2075,3,3,0,0,0,0
656924,"Ryan, Ryder",2024,344,3,3,0,0,0,0
658648,"Avila, Pedro",2024,1483,3,3,0,0,0,0
669211,"Akin, Keegan",2024,1259,3,3,0,0,0,0
669276,"Lee, Dylan",2024,898,3,3,0,0,0,0
669467,"Pallante, Andre",2024,1981,3,3,0,0,0,0
672582,"Zerpa, Angel",2024,1038,3,3,0,0,0,0
672710,"Contreras, Roansy",2024,1103,3,3,0,0,0,0
672860,"Berroa, Prelander",2024,355,3,3,0,0,0,0
674285,"Salazar, Eduardo",2024,497,3,3,0,0,0,0
677944,"Cecconi, Slade",2024,1298,3,3,0,0,0,0
682847,"Ortiz, Luis",2024,2158,3,3,0,0,0,0
694297,"Pfaadt, Brandon",2024,2801,3,3,0,0,0,0
456501,"Cueto, Johnny",2024,173,2,2,0,0,0,0
458677,"Wilson, Justin",2024,822,2,2,0,0,0,0
542888,"Armstrong, Shawn",2024,1111,2,2,0,0,0,0
543243,"Gray, Sonny",2024,2486,2,2,0,0,0,0
547973,"Chapman, Aroldis",2024,1130,2,2,0,0,0,0
573009,"Mantiply, Joe",2024,897,2,2,0,0,0,0
579328,"Kikuchi, Yusei",2024,2926,2,2,0,0,0,0
593576,"Neris, Héctor",2024,1029,2,2,0,0,0,0
605513,"Turnbull, Spencer",2024,920,2,2,0,0,0,0
607067,"Rea, Colin",2024,2656,2,2,0,0,0,0
608331,"Fried, Max",2024,2811,2,2,0,0,0,0
608334,"Fulmer, Carson",2024,1490,2,2,0,0,0,0
608723,"Voth, Austin",2024,976,2,2,0,0,0,0
621237,"Alvarado, José",2024,1079,2,2,0,0,0,0
621242,"Díaz, Edwin",2024,1075,2,2,0,0,0,0
623352,"Hader, Josh",2024,1218,2,2,0,0,0,0
628317,"Maeda, Kenta",2024,1960,2,2,0,0,0,0
628708,"Marte, Yunior",2024,485,2,2,0,0,0,0
641793,"Littell, Zack",2024,2488,2,2,0,0,0,0
642239,"Zastryzny, Rob",2024,121,2,2,0,0,0,0
642701,"Santana, Dennis",2024,1109,2,2,0,0,0,0
650556,"Abreu, Bryan",2024,1320,2,2,0,0,0,0
656629,"Kopech, Michael",2024,1327,2,2,0,0,0,0
656641,"Latz, Jacob",2024,827,2,2,0,0,0,0
657044,"Thompson, Ryan",2024,985,2,2,0,0,0,0
657376,"Schmidt, Clarke",2024,1673,2,2,0,0,0,0
657746,"Ryan, Joe",2024,2108,2,2,0,0,0,0
660896,"Alcala, Jorge",2024,935,2,2,0,0,0,0
661395,"Duran, Jhoan",2024,890,2,2,0,0,0,0
661563,"Gil, Luis",2024,2812,2,2,0,0,0,0
663321,"Hernandez, Nick",2024,141,2,2,0,0,0,0
663542,"Hudson, Bryan",2024,929,2,2,0,0,0,0
663776,"Sandoval, Patrick",2024,1455,2,2,0,0,0,0
663978,"Paddack, Chris",2024,1462,2,2,0,0,0,0
664208,"Maton III, Phil",2024,1219,2,2,0,0,0,0
664854,"Helsley, Ryan",2024,947,2,2,0,0,0,0
666205,"Muller, Kyle",2024,739,2,2,0,0,0,0
667755,"Soriano, José",2024,1743,2,2,0,0,0,0
669373,"Skubal, Tarik",2024,3136,2,2,0,0,0,0
669674,"Long, Sam",2024,775,2,2,0,0,0,0
669711,"Weissert, Greg",2024,1045,2,2,0,0,0,0
670102,"Francis, Bowden",2024,1561,2,2,0,0,0,0
670280,"Bednar, David",2024,1031,2,2,0,0,0,0
670955,"Uceta, Edwin",2024,674,2,2,0,0,0,0
676130,"Buttó, José",2024,1358,2,2,0,0,0,0
677960,"Weathers, Ryan",2024,1417,2,2,0,0,0,0
679525,"Marsh, Alec",2024,2164,2,2,0,0,0,0
680897,"Nastrini, Nick",2024,736,2,2,0,0,0,0
681676,"Fernandez, Ryan",2024,1213,2,2,0,0,0,0
681857,"Olson, Reese",2024,2002,2,2,0,0,0,0
681911,"Vesia, Alex",2024,1217,2,2,0,0,0,0
686826,"Jarvis, Bryce",2024,1024,2,2,0,0,0,0
691172,"Zulueta, Yosver",2024,288,2,2,0,0,0,0
621244,"Berríos, José",2024,2920,1,0,0,0,1,0
663947,"Holton, Tyler",2024,1451,1,0,0,0,1,0
681867,"Criswell, Cooper",2024,1757,1,0,0,0,1,0
445926,"Chavez, Jesse",2024,1077,1,1,0,0,0,0
453286,"Scherzer, Max",2024,670,1,1,0,0,0,0
489446,"Yates, Kirby",2024,1045,1,1,0,0,0,0
493603,"Ottavino, Adam",2024,1007,1,1,0,0,0,0
502085,"Robertson, David",2024,1228,1,1,0,0,0,0
502624,"Anderson, Chase",2024,1022,1,1,0,0,0,0
518585,"Cruz, Fernando",2024,1147,1,1,0,0,0,0
518876,"Kelly, Merrill",2024,1143,1,1,0,0,0,0
519008,"McFarland, T.J.",2024,857,1,1,0,0,0,0
519242,"Sale, Chris",2024,2818,1,1,0,0,0,0
523260,"Kelly, Joe",2024,558,1,1,0,0,0,0
542881,"Anderson, Tyler",2024,2921,1,1,0,0,0,0
542882,"Andriese, Matt",2024,93,1,1,0,0,0,0
543135,"Eovaldi, Nathan",2024,2623,1,1,0,0,0,0
543518,"McGough, Scott",2024,578,1,1,0,0,0,0
543859,"Tonkin, Michael",2024,1424,1,1,0,0,0,0
547001,"Poteet, Cody",2024,385,1,1,0,0,0,0
547179,"Lorenzen, Michael",2024,2134,1,1,0,0,0,0
548389,"Stripling, Ross",2024,1367,1,1,0,0,0,0
552640,"Kittredge, Andrew",2024,1038,1,1,0,0,0,0
554340,"García, Yimi",2024,632,1,1,0,0,0,0
554430,"Wheeler, Zack",2024,3247,1,1,0,0,0,0
570632,"Ureña, José",2024,1769,1,1,0,0,0,0
571670,"Floro, Dylan",2024,1020,1,1,0,0,0,0
571946,"Miller, Shelby",2024,853,1,1,0,0,0,0
571948,"Milner, Hoby",2024,1053,1,1,0,0,0,0
573186,"Stroman, Marcus",2024,2668,1,1,0,0,0,0
592767,"Smyly, Drew",2024,1029,1,1,0,0,0,0
596001,"Junis, Jakob",2024,944,1,1,0,0,0,0
596133,"Weaver, Luke",2024,1589,1,1,0,0,0,0
601713,"Pivetta, Nick",2024,2392,1,1,0,0,0,0
605130,"Barlow, Scott",2024,1027,1,1,0,0,0,0
605154,"Brebbia, John",2024,995,1,1,0,0,0,0
605155,"Brewer, Colten",2024,392,1,1,0,0,0,0
605452,"Ross, Joe",2024,1215,1,1,0,0,0,0
605463,"Scott, Tayler",2024,1208,1,1,0,0,0,0
606303,"Payamps, Joel",2024,951,1,1,0,0,0,0
606930,"Barnes, Jacob",2024,1125,1,1,0,0,0,0
606965,"Devenski, Chris",2024,534,1,1,0,0,0,0
607192,"Glasnow, Tyler",2024,2012,1,1,0,0,0,0
607259,"Martinez, Nick",2024,2126,1,1,0,0,0,0
607481,"Bummer, Aaron",2024,1011,1,1,0,0,0,0
608344,"Irvin, Cole",2024,1772,1,1,0,0,0,0
612434,"Castro, Miguel",2024,233,1,1,0,0,0,0
615698,"Quantrill, Cal",2024,2645,1,1,0,0,0,0
620982,"Pinto, Ricardo",2024,221,1,1,0,0,0,0
621111,"Buehler, Walker",2024,1599,1,1,0,0,0,0
622075,"Almonte, Yency",2024,272,1,1,0,0,0,0
622253,"Tate, Dillon",2024,591,1,1,0,0,0,0
622663,"Severino, Luis",2024,3183,1,1,0,0,0,0
622694,"Hernández, Elieser",2024,252,1,1,0,0,0,0
623433,"Anderson, Nick",2024,578,1,1,0,0,0,0
630023,"Chirinos, Yonny",2024,516,1,1,0,0,0,0
640455,"Manaea, Sean",2024,3325,1,1,0,0,0,0
641302,"Alexander, Tyler",2024,1673,1,1,0,0,0,0
641329,"Baker, Bryan",2024,371,1,1,0,0,0,0
641482,"Cortes Jr., Nestor",2024,2872,1,1,0,0,0,0
641656,"Hamilton, Ian",2024,640,1,1,0,0,0,0
641745,"Keller, Brad",2024,744,1,1,0,0,0,0
641927,"Ober, Bailey",2024,2697,1,1,0,0,0,0
642100,"Speier, Gabe",2024,427,1,1,0,0,0,0
642397,"Soto, Gregory",2024,982,1,1,0,0,0,0
642834,"Bermudez, Jonathan",2024,122,1,1,0,0,0,0
643410,"Leiter Jr., Mark",2024,1115,1,1,0,0,0,0
650644,"Civale, Aaron",2024,2735,1,1,0,0,0,0
650893,"Cabrera, Génesis",2024,1047,1,1,0,0,0,0
650911,"Sánchez, Cristopher",2024,2886,1,1,0,0,0,0
656222,"Beeks, Jalen",2024,1195,1,1,0,0,0,0
656240,"Blewett, Scott",2024,327,1,1,0,0,0,0
656288,"Canning, Griffin",2024,2876,1,1,0,0,0,0
656546,"Hoffman, Jeff",2024,1048,1,1,0,0,0,0
656605,"Keller, Mitch",2024,2852,1,1,0,0,0,0
656731,"Megill, Tylor",2024,1472,1,1,0,0,0,0
656794,"Newcomb, Sean",2024,187,1,1,0,0,0,0
656876,"Rasmussen, Drew",2024,460,1,1,0,0,0,0
656945,"Scott, Tanner",2024,1245,1,1,0,0,0,0
657006,"Steele, Justin",2024,2047,1,1,0,0,0,0
657612,"Hill, Tim",2024,1117,1,1,0,0,0,0
657649,"Koenig, Jared",2024,1040,1,1,0,0,0,0
660761,"Suarez, José",2024,990,1,1,0,0,0,0
662253,"Muñoz, Andrés",2024,964,1,1,0,0,0,0
663158,"Suarez, Robert",2024,1020,1,1,0,0,0,0
