gamePk,game_date,team_id,team_name,side,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed
575295,2019-04-04,531,Scranton/Wilkes-Barre RailRiders,away,0,0,0,1,1,2
575295,2019-04-04,422,Buffalo Bisons,home,1,1,2,0,0,0
575931,2019-04-04,533,Pawtucket Red Sox,away,1,1,2,1,1,2
575931,2019-04-04,552,Syracuse Mets,home,1,1,2,1,1,2
575645,2019-04-04,416,Louisville Bats,away,4,0,4,3,1,4
575645,2019-04-04,512,Toledo Mud Hens,home,3,1,4,4,0,4
575435,2019-04-04,484,Indianapolis Indians,away,0,1,1,1,1,2
575435,2019-04-04,445,Columbus Clippers,home,1,1,2,0,1,1
575575,2019-04-04,234,Durham Bulls,away,1,0,1,0,0,0
575575,2019-04-04,494,Charlotte Knights,home,0,0,0,1,0,1
575365,2019-04-04,568,Norfolk Tides,away,0,1,1,0,0,0
575365,2019-04-04,431,Gwinnett Stripers,home,0,0,0,0,1,1
576071,2019-04-04,534,Rochester Red Wings,away,1,0,1,1,0,1
576071,2019-04-04,1410,Lehigh Valley IronPigs,home,1,0,1,1,0,1
579767,2019-04-04,451,Iowa Cubs,away,2,0,2,0,0,0
579767,2019-04-04,556,Nashville Sounds,home,0,0,0,2,0,2
579907,2019-04-04,510,San Antonio Missions,away,1,0,1,0,0,0
579907,2019-04-04,238,Oklahoma City Dodgers,home,0,0,0,1,0,1
579697,2019-04-04,541,Omaha Storm Chasers,away,0,1,1,1,0,1
579697,2019-04-04,235,Memphis Redbirds,home,1,0,1,0,1,1
579332,2019-04-04,561,Salt Lake Bees,away,0,1,1,0,0,0
579332,2019-04-04,342,Albuquerque Isotopes,home,0,0,0,0,1,1
579417,2019-04-04,400,Las Vegas Aviators,away,1,0,1,1,0,1
579417,2019-04-04,4904,El Paso Chihuahuas,home,1,0,1,1,0,1
587933,2019-04-04,496,Leones de Yucatan,away,0,0,0,0,0,0
587933,2019-04-04,562,Sultanes de Monterrey,home,0,0,0,0,0,0
580188,2019-04-04,529,Tacoma Rainiers,away,1,1,2,1,1,2
580188,2019-04-04,105,Sacramento River Cats,home,1,1,2,1,1,2
579487,2019-04-04,2310,Reno Aces,away,1,0,1,0,0,0
579487,2019-04-04,259,Fresno Grizzlies,home,0,0,0,1,0,1
579837,2019-04-04,102,Round Rock Express,away,0,1,1,1,0,1
579837,2019-04-04,588,New Orleans Baby Cakes,home,1,0,1,0,1,1
588113,2019-04-05,4444,Generales de Durango,away,0,0,0,0,0,0
588113,2019-04-05,5010,Toros de Tijuana,home,0,0,0,0,0,0
575436,2019-04-05,484,Indianapolis Indians,away,0,2,2,0,0,0
575436,2019-04-05,445,Columbus Clippers,home,0,0,0,0,2,2
575296,2019-04-05,531,Scranton/Wilkes-Barre RailRiders,away,2,0,2,0,0,0
575296,2019-04-05,422,Buffalo Bisons,home,0,0,0,2,0,2
575576,2019-04-05,234,Durham Bulls,away,1,0,1,0,0,0
575576,2019-04-05,494,Charlotte Knights,home,0,0,0,1,0,1
575646,2019-04-05,416,Louisville Bats,away,0,2,2,2,0,2
575646,2019-04-05,512,Toledo Mud Hens,home,2,0,2,0,2,2
575366,2019-04-05,568,Norfolk Tides,away,0,0,0,0,0,0
575366,2019-04-05,431,Gwinnett Stripers,home,0,0,0,0,0,0
579768,2019-04-05,451,Iowa Cubs,away,0,1,1,2,0,2
579768,2019-04-05,556,Nashville Sounds,home,2,0,2,0,1,1
579838,2019-04-05,102,Round Rock Express,away,0,1,1,0,1,1
579838,2019-04-05,588,New Orleans Baby Cakes,home,0,1,1,0,1,1
579908,2019-04-05,510,San Antonio Missions,away,1,0,1,1,0,1
579908,2019-04-05,238,Oklahoma City Dodgers,home,1,0,1,1,0,1
579698,2019-04-05,541,Omaha Storm Chasers,away,0,1,1,0,0,0
579698,2019-04-05,235,Memphis Redbirds,home,0,0,0,0,1,1
579333,2019-04-05,561,Salt Lake Bees,away,0,1,1,0,0,0
579333,2019-04-05,342,Albuquerque Isotopes,home,0,0,0,0,1,1
587392,2019-04-05,569,Tigres de Quintana Roo,away,0,1,1,0,0,0
587392,2019-04-05,532,Diablos Rojos del Mexico,home,0,0,0,0,1,1
579418,2019-04-05,400,Las Vegas Aviators,away,2,1,3,0,0,0
579418,2019-04-05,4904,El Paso Chihuahuas,home,0,0,0,2,1,3
587934,2019-04-05,496,Leones de Yucatan,away,1,0,1,0,0,0
587934,2019-04-05,562,Sultanes de Monterrey,home,0,0,0,1,0,1
587332,2019-04-05,528,Rieleros de Aguascalientes,away,0,0,0,0,0,0
587332,2019-04-05,434,Bravos de Leon,home,0,0,0,0,0,0
587693,2019-04-05,523,Piratas de Campeche,away,1,0,1,0,0,0
587693,2019-04-05,520,Pericos de Puebla,home,0,0,0,1,0,1
587993,2019-04-05,447,Algodoneros Union Laguna,away,0,1,1,1,0,1
587993,2019-04-05,536,Tecos de los Dos Laredos,home,1,0,1,0,1,1
587212,2019-04-05,502,Saraperos de Saltillo,away,0,0,0,0,0,0
587212,2019-04-05,560,Acereros del Norte,home,0,0,0,0,0,0
587512,2019-04-05,442,Olmecas de Tabasco,away,0,0,0,2,0,2
587512,2019-04-05,579,Guerreros de Oaxaca,home,2,0,2,0,0,0
580189,2019-04-05,529,Tacoma Rainiers,away,2,1,3,0,1,1
580189,2019-04-05,105,Sacramento River Cats,home,0,1,1,2,1,3
579488,2019-04-05,2310,Reno Aces,away,0,0,0,1,0,1
579488,2019-04-05,259,Fresno Grizzlies,home,1,0,1,0,0,0
575932,2019-04-05,533,Pawtucket Red Sox,away,0,0,0,0,1,1
575932,2019-04-05,552,Syracuse Mets,home,0,1,1,0,0,0
576072,2019-04-05,534,Rochester Red Wings,away,0,0,0,1,1,2
576072,2019-04-05,1410,Lehigh Valley IronPigs,home,1,1,2,0,0,0
575933,2019-04-06,533,Pawtucket Red Sox,away,0,0,0,0,0,0
575933,2019-04-06,552,Syracuse Mets,home,0,0,0,0,0,0
575932,2019-04-06,533,Pawtucket Red Sox,away,0,0,0,0,1,1
575932,2019-04-06,552,Syracuse Mets,home,0,1,1,0,0,0
575297,2019-04-06,531,Scranton/Wilkes-Barre RailRiders,away,3,0,3,0,1,1
575297,2019-04-06,422,Buffalo Bisons,home,0,1,1,3,0,3
575647,2019-04-06,416,Louisville Bats,away,0,0,0,4,1,5
575647,2019-04-06,512,Toledo Mud Hens,home,4,1,5,0,0,0
576073,2019-04-06,534,Rochester Red Wings,away,0,0,0,0,0,0
576073,2019-04-06,1410,Lehigh Valley IronPigs,home,0,0,0,0,0,0
576072,2019-04-06,534,Rochester Red Wings,away,0,0,0,1,1,2
576072,2019-04-06,1410,Lehigh Valley IronPigs,home,1,1,2,0,0,0
587694,2019-04-06,523,Piratas de Campeche,away,0,1,1,1,0,1
587694,2019-04-06,520,Pericos de Puebla,home,1,0,1,0,1,1
587393,2019-04-06,569,Tigres de Quintana Roo,away,0,0,0,1,0,1
587393,2019-04-06,532,Diablos Rojos del Mexico,home,1,0,1,0,0,0
579839,2019-04-06,102,Round Rock Express,away,1,0,1,0,0,0
579839,2019-04-06,588,New Orleans Baby Cakes,home,0,0,0,1,0,1
579837,2019-04-06,102,Round Rock Express,away,0,1,1,1,0,1
579837,2019-04-06,588,New Orleans Baby Cakes,home,1,0,1,0,1,1
575437,2019-04-06,484,Indianapolis Indians,away,2,0,2,1,0,1
575437,2019-04-06,445,Columbus Clippers,home,1,0,1,2,0,2
575367,2019-04-06,568,Norfolk Tides,away,0,0,0,0,0,0
575367,2019-04-06,431,Gwinnett Stripers,home,0,0,0,0,0,0
587513,2019-04-06,442,Olmecas de Tabasco,away,0,0,0,2,3,5
587513,2019-04-06,579,Guerreros de Oaxaca,home,2,3,5,0,0,0
575577,2019-04-06,234,Durham Bulls,away,2,1,3,1,0,1
575577,2019-04-06,494,Charlotte Knights,home,1,0,1,2,1,3
579699,2019-04-06,541,Omaha Storm Chasers,away,0,0,0,0,0,0
579699,2019-04-06,235,Memphis Redbirds,home,0,0,0,0,0,0
579769,2019-04-06,451,Iowa Cubs,away,2,1,3,0,1,1
579769,2019-04-06,556,Nashville Sounds,home,0,1,1,2,1,3
579909,2019-04-06,510,San Antonio Missions,away,4,1,5,0,0,0
579909,2019-04-06,238,Oklahoma City Dodgers,home,0,0,0,4,1,5
587333,2019-04-06,528,Rieleros de Aguascalientes,away,3,0,3,1,1,2
587333,2019-04-06,434,Bravos de Leon,home,1,1,2,3,0,3
579349,2019-04-06,561,Salt Lake Bees,away,1,0,1,0,2,2
579349,2019-04-06,342,Albuquerque Isotopes,home,0,2,2,1,0,1
587994,2019-04-06,447,Algodoneros Union Laguna,away,2,0,2,2,0,2
587994,2019-04-06,536,Tecos de los Dos Laredos,home,2,0,2,2,0,2
587213,2019-04-06,502,Saraperos de Saltillo,away,1,0,1,0,0,0
587213,2019-04-06,560,Acereros del Norte,home,0,0,0,1,0,1
579419,2019-04-06,400,Las Vegas Aviators,away,0,0,0,0,0,0
579419,2019-04-06,4904,El Paso Chihuahuas,home,0,0,0,0,0,0
580190,2019-04-06,529,Tacoma Rainiers,away,0,0,0,0,0,0
580190,2019-04-06,105,Sacramento River Cats,home,0,0,0,0,0,0
579489,2019-04-06,2310,Reno Aces,away,1,0,1,1,0,1
579489,2019-04-06,259,Fresno Grizzlies,home,1,0,1,1,0,1
588114,2019-04-06,4444,Generales de Durango,away,0,0,0,0,0,0
588114,2019-04-06,5010,Toros de Tijuana,home,0,0,0,0,0,0
575648,2019-04-07,416,Louisville Bats,away,1,2,3,3,1,4
575648,2019-04-07,512,Toledo Mud Hens,home,3,1,4,1,2,3
575298,2019-04-07,531,Scranton/Wilkes-Barre RailRiders,away,1,0,1,1,0,1
575298,2019-04-07,422,Buffalo Bisons,home,1,0,1,1,0,1
575934,2019-04-07,533,Pawtucket Red Sox,away,0,0,0,0,3,3
575934,2019-04-07,552,Syracuse Mets,home,0,3,3,0,0,0
