gamePk,season,level_name,play_idx,pitcher_id,pitcher_name,batter_id,runner_id,balls,strikes,outs,runner_state,event_type,base_to
575295,2019,AAA,9,461829,Gio González,542992,,1,2,2,1_3,SB,second
575295,2019,AAA,35,461829,Gio González,546990,,1,2,2,1__,CS,second
575931,2019,AAA,16,502327,Héctor Santiago,491676,,3,3,3,1__,SB,second
575931,2019,AAA,65,657031,Josh Taylor,607369,,4,2,2,1__,SB,second
575645,2019,AAA,4,608335,Kyle Funkhouser,606157,,2,3,3,1__,SB,second
575645,2019,AAA,31,573204,Caleb Thielbar,640447,,1,1,2,12_,SB,second
575645,2019,AAA,52,622783,Sandy Báez,657434,,3,2,2,123,SB,third
575645,2019,AAA,67,621199,Matt Bowman,622682,,1,0,2,12_,SB,second
575645,2019,AAA,77,621199,Matt Bowman,663662,,3,1,2,12_,SB,second
575645,2019,AAA,79,623474,Jimmy Herget,500135,,4,2,2,1__,SB,second
575435,2019,AAA,1,629496,Chih-Wei Hu,663647,,2,1,2,1__,CS,second
575435,2019,AAA,26,664141,JT Brubaker,471865,,4,2,0,1__,SB,second
575575,2019,AAA,38,621394,Colton Turner,663993,,2,2,2,12_,SB,second
575365,2019,AAA,32,592314,Mike Foltynewicz,607471,,0,3,3,1__,CS,second
579767,2019,AAA,55,605260,Taylor Guerrieri,595943,,2,3,2,1__,SB,second
579767,2019,AAA,71,600887,Miguel Del Pozo,595943,,1,3,2,_2_,SB,third
579907,2019,AAA,66,518748,Justin Grimm,641999,,4,1,1,1__,SB,second
579697,2019,AAA,12,641571,Heath Fillmyer,668800,,4,2,0,1__,SB,second
579417,2019,AAA,21,596043,Daniel Mengden,647304,,1,3,3,1__,SB,second
579417,2019,AAA,79,642233,Eric Yardley,669221,,2,1,2,12_,SB,second
580188,2019,AAA,40,657024,Erik Swanson,595222,,2,1,2,1__,CS,second
580188,2019,AAA,41,657024,Erik Swanson,623214,,1,3,3,1__,SB,second
580188,2019,AAA,63,605143,Ray Black,502117,,4,0,2,1__,SB,second
580188,2019,AAA,70,605143,Ray Black,641487,,1,2,3,1__,CS,second
579837,2019,AAA,36,657680,Brendan McCurry,543194,,1,3,2,1__,SB,second
579837,2019,AAA,41,663734,Nick Neidert,657027,,4,1,2,12_,CS,third
575436,2019,AAA,85,572044,Brooks Pounders,571467,,2,3,3,1__,CS,second
575296,2019,AAA,28,595260,Dusty Isaacs,657446,,2,3,3,12_,SB,third
575576,2019,AAA,47,608334,Carson Fulmer,657429,,4,1,2,12_,SB,second
575646,2019,AAA,8,608371,Lucas Sims,622682,,3,2,2,_23,SB,third
575646,2019,AAA,39,660875,Jesús Reyes,622682,,1,0,2,12_,SB,second
575646,2019,AAA,50,657081,Paul Voelker,664167,,3,3,3,1__,CS,second
579768,2019,AAA,6,621249,Duane Underwood Jr.,621550,,3,2,2,1_3,SB,second
579768,2019,AAA,40,642558,Ariel Jurado,664023,,1,1,2,1__,CS,second
579838,2019,AAA,17,668678,Zac Gallen,621008,,3,3,3,1__,CS,second
579908,2019,AAA,23,622246,Bubba Derby,669257,,2,3,3,1__,SB,second
579908,2019,AAA,59,608638,JT Chargois,669374,,2,3,2,1__,SB,second
579333,2019,AAA,51,622786,Jesus Tinoco,571841,,4,2,2,1__,CS,second
579418,2019,AAA,2,663531,Logan Allen,620439,,2,2,3,12_,SB,second
579418,2019,AAA,51,606131,Luis Perdomo,620439,,0,3,2,1__,SB,second
587934,2019,AAA,55,648097,Marco Antonio Rivas,550492,,3,2,1,12_,SB,second
587693,2019,AAA,50,641806,Ryan Luna,662962,,4,0,2,1__,SB,second
587993,2019,AAA,26,454968,Jose Oyervides,462962,,4,2,1,1__,CS,second
587993,2019,AAA,66,683114,Fernando Burgueno,643275,,1,1,1,12_,SB,second
587512,2019,AAA,6,501645,Leuris Gomez,524648,,1,3,1,1__,SB,second
587512,2019,AAA,19,501645,Leuris Gomez,518770,,2,2,3,1__,SB,second
580189,2019,AAA,52,592438,Chase Johnson,641878,,4,1,1,12_,SB,third
579488,2019,AAA,22,642203,Taylor Widener,657636,,3,1,2,12_,SB,second
576072,2019,AAA,38,543258,Preston Guilmet,594838,,1,1,0,12_,SB,second
575297,2019,AAA,34,656887,Sean Reid-Foley,542993,,4,0,0,1__,SB,second
575297,2019,AAA,37,605447,Jordan Romano,669137,,1,1,2,_23,SB,third
575297,2019,AAA,49,605447,Jordan Romano,641741,,4,1,1,1__,SB,second
575647,2019,AAA,6,622492,Keury Mella,500135,,2,3,2,12_,SB,second
575647,2019,AAA,15,622492,Keury Mella,519237,,3,2,2,1__,SB,second
575647,2019,AAA,39,622492,Keury Mella,605612,,3,1,3,1__,SB,second
575647,2019,AAA,48,622492,Keury Mella,650489,,1,0,3,1__,SB,second
576072,2019,AAA,38,543258,Preston Guilmet,594838,,1,1,0,12_,SB,second
587694,2019,AAA,20,456150,Marco Carrillo,657051,,4,2,2,1__,SB,second
587393,2019,AAA,56,585671,Juan Ramon Noriega,642484,,3,1,3,1__,SB,second
579839,2019,AAA,43,456051,Hector Noesí,663656,,3,3,3,1__,SB,second
579837,2019,AAA,36,657680,Brendan McCurry,543194,,1,3,2,1__,SB,second
579837,2019,AAA,41,663734,Nick Neidert,657027,,4,1,2,12_,CS,third
575437,2019,AAA,25,622446,Jefry Rodriguez,668804,,1,2,2,_23,SB,third
575437,2019,AAA,26,622446,Jefry Rodriguez,607780,,2,2,3,1__,SB,second
587513,2019,AAA,4,607665,Dennis O'Grady,676140,,3,2,1,1__,CS,second
575577,2019,AAA,9,641941,Emilio Pagán,641470,,4,2,2,1__,SB,second
575577,2019,AAA,21,596111,Jordan Stephens,623205,,2,2,1,12_,SB,second
575577,2019,AAA,58,605507,Zach Thompson,663993,,3,3,3,1__,SB,second
579769,2019,AAA,10,605138,Wes Benjamin,543089,,4,1,2,1__,SB,second
579769,2019,AAA,55,623490,Brad Markey,542908,,2,1,2,1__,CS,second
579909,2019,AAA,2,592411,Ben Holmes,669374,,1,3,2,1__,SB,second
579909,2019,AAA,54,518748,Justin Grimm,606993,,3,3,3,1__,SB,second
579909,2019,AAA,72,519294,Josh Smoker,621438,,2,2,2,12_,SB,second
587333,2019,AAA,38,473659,Daniel Guerrero,643482,,3,3,1,1__,SB,second
587333,2019,AAA,53,664110,Brandon Quintero,606114,,3,1,0,1_3,SB,second
587333,2019,AAA,76,654034,Wilfredo Ramirez,519434,,4,2,0,1__,SB,second
579349,2019,AAA,54,592361,Evan Grills,642136,,2,2,3,1__,SB,second
587994,2019,AAA,2,429901,Sergio Mitre,462962,,2,3,2,1__,SB,second
587994,2019,AAA,5,650830,Eumir Sepulveda,672438,,2,1,0,1__,SB,second
587994,2019,AAA,11,429901,Sergio Mitre,521089,,4,1,0,1__,SB,second
587994,2019,AAA,42,547374,Vanny Valenzuela,573017,,2,2,1,1__,SB,second
587213,2019,AAA,62,664039,Geno Encina,516736,,4,2,2,1__,SB,second
579489,2019,AAA,48,613534,Austin Adams,501659,,3,3,3,1__,SB,second
579489,2019,AAA,63,640463,Braden Shipley,474319,,2,3,1,12_,SB,second
575648,2019,AAA,27,641302,Tyler Alexander,641802,,1,2,1,12_,SB,second
575648,2019,AAA,49,661269,Vladimir Gutierrez,670143,,2,0,1,12_,SB,second
575648,2019,AAA,51,623451,Jackson Stephens,622682,,4,0,2,1__,SB,second
575648,2019,AAA,71,607219,Sal Romano,615699,,1,3,2,1__,SB,second
575648,2019,AAA,75,643617,Zac Reininger,657434,,3,2,2,1__,CS,second
575298,2019,AAA,7,571735,David Hale,624415,,4,2,2,1__,SB,second
575298,2019,AAA,67,664849,Danny Young,669137,,4,1,0,1__,SB,second
575934,2019,AAA,4,595001,Josh A. Smith,457787,,4,2,1,1__,CS,second
575368,2019,AAA,18,669211,Keegan Akin,605346,,3,3,2,1__,SB,second
575368,2019,AAA,41,641425,Thomas Burrows,642082,,2,1,3,1__,SB,second
576074,2019,AAA,16,641793,Zack Littell,594838,,4,2,2,1__,CS,second
576074,2019,AAA,58,592280,Ryan Eades,461865,,2,2,1,12_,SB,second
587695,2019,AAA,27,487019,Manuel Flores,543611,,3,3,1,1__,SB,second
587695,2019,AAA,46,641806,Ryan Luna,662962,,4,2,2,1__,SB,second
587394,2019,AAA,41,463669,Jorge Castillo,652999,,2,1,2,1__,CS,second
587394,2019,AAA,56,601978,Fabian Cota,626843,,2,2,2,1__,CS,second
579840,2019,AAA,54,656257,Jeff Brigham,608686,,3,1,3,12_,SB,second
579840,2019,AAA,60,592288,Kent Emanuel,623912,,1,3,2,1__,SB,second
579840,2019,AAA,68,594056,Reymin Guduan,446868,,4,0,1,12_,SB,second
575438,2019,AAA,71,573074,R.C. Orlan,596012,,3,3,3,1__,SB,second
575578,2019,AAA,13,656181,Spencer Adams,630105,,3,1,3,1__,SB,second
575578,2019,AAA,34,621394,Colton Turner,623205,,1,1,1,1__,SB,second
587334,2019,AAA,2,465038,Alejandro Soto,519434,,4,2,2,1__,CS,second
587334,2019,AAA,3,465038,Alejandro Soto,466089,,3,2,2,12_,SB,second
587334,2019,AAA,26,459932,Hector Ambriz,477377,,3,1,1,1__,SB,second
579910,2019,AAA,49,534812,Kevin Quackenbush,644337,,2,2,2,12_,SB,second
579770,2019,AAA,4,607067,Colin Rea,641432,,2,0,1,12_,SB,second
579770,2019,AAA,51,657123,Ryan Williams,542908,,1,0,2,_2_,SB,third
579770,2019,AAA,60,596027,Dillon Maples,643335,,3,3,1,1__,SB,second
579420,2019,AAA,71,606131,Luis Perdomo,641583,,4,1,2,1__,CS,second
579700,2019,AAA,19,594965,Daniel Ponce de Leon,642721,,2,2,2,123,SB,second
579700,2019,AAA,28,594902,Ben Lively,657041,,4,2,2,12_,SB,second
579700,2019,AAA,52,543017,Hunter Cervenka,600898,,0,3,3,1__,CS,second
587935,2019,AAA,3,493183,Jin-Woo Kim,594830,,4,2,2,1__,SB,second
587935,2019,AAA,11,493183,Jin-Woo Kim,592445,,0,3,1,1__,SB,second
587935,2019,AAA,33,493183,Jin-Woo Kim,500739,,2,2,1,1__,CS,second
587935,2019,AAA,40,493183,Jin-Woo Kim,592312,,0,3,1,1__,SB,second
587995,2019,AAA,19,514923,Omar Bencomo,462962,,1,0,3,1__,CS,second
587514,2019,AAA,5,550014,Adrian Garza,518770,,2,0,2,12_,SB,second
587514,2019,AAA,6,550014,Adrian Garza,501213,,0,3,3,1__,SB,second
