gamePk,season,level_name,play_idx,pitcher_id,pitcher_name,batter_id,runner_id,balls,strikes,outs,runner_state,event_type,base_to
672949,2022,AA,33,674178,Parker Caracci,683766,,2,3,2,1__,SB,second
672664,2022,AA,3,663704,James McArthur,665953,,1,3,3,1__,SB,second
672664,2022,AA,16,665622,Luis Medina,666695,,4,1,2,1__,SB,second
672664,2022,AA,29,663704,James McArthur,663604,,4,1,0,12_,SB,second
672664,2022,AA,30,663704,James McArthur,663368,,2,3,1,1_3,SB,second
672664,2022,AA,70,670062,Julian Garcia,661733,,3,3,1,1__,SB,second
672664,2022,AA,72,670062,Julian Garcia,683011,,1,2,2,123,SB,second
673894,2022,AA,24,676742,Cam Sanders,680574,,1,3,3,1__,CS,second
673390,2022,AA,23,680723,Drew Rom,665780,,2,3,3,1__,SB,second
674456,2022,AA,3,682016,William Woods,668853,,4,2,2,1__,SB,second
674456,2022,AA,10,682016,William Woods,675448,,1,2,1,12_,SB,second
674456,2022,AA,29,677421,Hayden Deal,675659,,3,3,3,1__,SB,second
674456,2022,AA,59,663359,Justin Maese,675448,,1,1,3,1__,SB,second
671871,2022,AA,67,682967,Devin Sweet,663618,,3,1,1,123,SB,second
671392,2022,AA,12,674086,Connor Lunn,672580,,2,3,2,12_,SB,third
671392,2022,AA,88,667176,Grant Black,679845,,1,1,2,12_,SB,second
674157,2022,AA,16,668908,Justin Bullock,676463,,1,3,2,1__,SB,second
674157,2022,AA,24,676334,Robbie Hitt,642720,,4,2,2,1__,SB,second
674157,2022,AA,84,656544,Colton Hock,656883,,2,3,3,1__,SB,second
674157,2022,AA,94,687424,Anthony Maldonado,687478,,1,0,3,1__,SB,second
674722,2022,AA,2,663436,Davis Martin,664097,,2,1,2,12_,SB,second
674722,2022,AA,34,663436,Davis Martin,670869,,2,3,3,1__,SB,second
674722,2022,AA,58,671111,Sammy Peralta,669236,,3,3,1,1__,SB,second
674722,2022,AA,67,673965,Caleb Freeman,664334,,4,1,1,1__,SB,second
672359,2022,AA,56,670183,Garrett Acton,607733,,3,3,3,1__,SB,second
672359,2022,AA,64,670183,Garrett Acton,666452,,1,2,1,12_,SB,second
673388,2022,AA,31,687064,Brandon Young,682266,,2,3,1,1__,SB,second
673388,2022,AA,76,688004,Shelton Perkins,682266,,1,3,2,_2_,SB,third
673608,2022,AA,17,681347,Mike Burrows,687714,,1,3,3,1__,SB,second
672662,2022,AA,5,686610,Ken Waldichuk,657010,,1,3,2,1__,CS,second
671388,2022,AA,8,685107,Anthony Veneziano,687470,,4,2,2,12_,SB,third
671388,2022,AA,47,621377,Tyler Pike,686681,,3,2,2,1__,CS,second
673898,2022,AA,5,656726,Sam McWilliams,676369,,2,2,1,12_,SB,second
673898,2022,AA,52,656927,Ricky Salinas,666624,,2,0,2,1__,SB,second
671064,2022,AA,19,690925,Clayton Beeter,668885,,3,2,1,12_,SB,second
671064,2022,AA,41,680573,Simeon Woods Richardson,683737,,4,1,2,1__,SB,second
674153,2022,AA,31,685112,Zach McCambley,669157,,2,2,1,1_3,SB,second
674153,2022,AA,69,682842,Abner Uribe,687859,,1,1,1,1__,SB,second
674153,2022,AA,80,663534,Nash Walters,664697,,2,2,1,1__,SB,second
674721,2022,AA,51,667722,J.B. Olson,670869,,3,1,2,123,SB,third
674721,2022,AA,60,656077,Félix Paulino,670867,,3,2,2,1__,SB,second
674721,2022,AA,69,662107,Brian Glowicki,664334,,2,1,3,12_,SB,second
671872,2022,AA,19,683004,Jack Leiter,676113,,2,3,3,1__,SB,second
671872,2022,AA,30,686651,Levi Stoudt,671272,,3,3,3,1__,CS,second
671872,2022,AA,63,641739,Rob Kaminsky,677649,,3,0,0,12_,SB,second
672321,2022,AA,40,689011,Brock Whittlesey,686527,,4,0,0,1__,SB,second
672321,2022,AA,73,670285,Michael Danielak,666452,,2,3,3,1__,SB,second
672937,2022,AA,5,696522,Hayden Juenger,661250,,2,3,2,1__,SB,second
672937,2022,AA,28,687888,Brandon Walter,671287,,1,2,3,1__,SB,second
672937,2022,AA,34,686679,Dylan Spacke,671088,,1,2,3,1__,CS,second
672937,2022,AA,38,687606,Paxton Schultz,683766,,2,3,3,1__,SB,second
672937,2022,AA,56,606981,Darin Gillies,674330,,4,2,2,_2_,SB,third
672937,2022,AA,61,696064,Geison Urbaez,666152,,4,2,2,12_,SB,second
673606,2022,AA,31,660674,Alberto Guerrero,672779,,1,2,2,_23,SB,third
672988,2022,AA,8,663820,Alex Valverde,669911,,3,3,2,1__,SB,second
672988,2022,AA,26,688010,Nate Fisher,663796,,4,2,1,12_,SB,second
673348,2022,AA,7,595893,Bryan Brickhouse,687401,,2,2,1,123,SB,second
673348,2022,AA,39,676510,Nolan Hoffman,682266,,2,1,0,123,SB,second
673348,2022,AA,60,669690,Blake Rivera,676059,,2,1,0,123,SB,second
673348,2022,AA,69,656937,Tyler Schimpf,676059,,3,2,3,1__,SB,second
673350,2022,AA,29,669142,Tanner Burns,667472,,2,1,3,1__,SB,second
673893,2022,AA,34,663880,Peyton Remy,686989,,3,2,1,1_3,SB,second
673893,2022,AA,42,657246,Ryan Nutof,668664,,4,2,2,1__,SB,second
673893,2022,AA,47,663880,Peyton Remy,642134,,1,2,2,123,SB,second
672037,2022,AA,3,678789,Julio Robaina,605520,,4,2,2,1__,CS,second
672037,2022,AA,16,668203,Layne Henderson,671250,,3,3,2,123,SB,third
672037,2022,AA,26,668203,Layne Henderson,665923,,2,2,2,12_,SB,second
672037,2022,AA,39,670157,Ruben Garcia,686887,,2,1,1,12_,SB,second
671056,2022,AA,29,681892,Kody Funderburk,656607,,4,2,1,1__,CS,second
671056,2022,AA,31,643588,Tyler Viza,683737,,3,1,2,12_,SB,second
671056,2022,AA,34,680701,John Rooney,680737,,0,2,2,1__,CS,second
674455,2022,AA,16,693855,Ian Seymour,643268,,1,3,3,1__,CS,second
674455,2022,AA,20,694363,Jared Shuster,675659,,2,3,2,1__,SB,second
674455,2022,AA,26,681841,Alan Strong,674677,,1,1,1,_23,SB,third
674455,2022,AA,70,682126,Evan Reifert,643268,,2,0,1,1__,SB,second
674455,2022,AA,71,682126,Evan Reifert,675966,,4,2,2,_2_,CS,third
672645,2022,AA,10,681973,Josh Hendrickson,687382,,3,3,2,1__,SB,second
674704,2022,AA,41,669205,Lincoln Henzman,668876,,4,2,2,1__,SB,second
674704,2022,AA,48,656914,Kaleb Roper,666922,,4,2,1,1__,CS,second
671866,2022,AA,46,676699,Seth Nordlin,676803,,1,1,2,12_,SB,second
674152,2022,AA,53,681006,Josh Simpson,686894,,4,2,2,1__,CS,second
672194,2022,AA,40,640463,Braden Shipley,668698,,2,3,2,12_,SB,third
672194,2022,AA,74,681643,Freddy Pacheco,676595,,1,3,3,1__,SB,second
672193,2022,AA,14,624526,Garrett Williams,690189,,2,2,2,1_3,SB,second
672193,2022,AA,36,681592,Edgar Escobar,687659,,1,1,3,1__,SB,second
672193,2022,AA,38,688230,Peyton Alford,666206,,3,3,1,1__,SB,second
672193,2022,AA,53,688230,Peyton Alford,666206,,4,1,2,1__,SB,second
673187,2022,AA,1,651002,Steven Fuentes,683766,,2,2,1,12_,SB,second
673187,2022,AA,15,651002,Steven Fuentes,683766,,0,1,1,1_3,SB,second
673187,2022,AA,33,651002,Steven Fuentes,683766,,1,3,2,1_3,SB,second
673466,2022,AA,1,663988,Alec Kisena,676059,,1,1,1,12_,SB,second
673466,2022,AA,23,686745,Zach Peek,682239,,4,2,2,1__,SB,second
673466,2022,AA,70,688004,Shelton Perkins,682626,,4,1,1,1__,SB,second
672875,2022,AA,5,663562,Noah Davis,672463,,2,0,0,12_,SB,second
672875,2022,AA,18,666721,Max Castillo,686555,,2,2,2,1__,SB,second
672875,2022,AA,70,656422,Cre Finfrock,686555,,4,1,2,1__,SB,second
672352,2022,AA,17,666745,Jhony Brito,669398,,4,2,1,1__,SB,second
672352,2022,AA,63,667435,Barrett Loseke,667472,,2,2,2,12_,SB,second
672524,2022,AA,7,693312,Kyle Nicolas,669717,,4,2,1,1__,SB,second
672524,2022,AA,38,676298,Frank Rubio,669261,,2,3,3,_2_,SB,third
673760,2022,AA,50,699499,Mike Adams,686823,,4,2,2,1__,CS,second
674550,2022,AA,14,670625,Steven Moyers,656627,,3,3,3,1__,SB,second
674550,2022,AA,23,670625,Steven Moyers,680574,,2,3,3,1__,SB,second
671756,2022,AA,1,669372,J.T. Ginn,665839,,2,3,1,12_,SB,second
674351,2022,AA,59,667378,Dauris Valdez,670224,,1,3,3,1__,SB,second
674028,2022,AA,7,666277,George Soriano,664097,,2,3,2,1__,SB,second
674028,2022,AA,9,666277,George Soriano,670867,,3,3,3,12_,SB,second
674028,2022,AA,14,666277,George Soriano,650506,,1,1,1,12_,SB,second
674028,2022,AA,18,666277,George Soriano,670869,,1,1,3,1__,SB,second
674028,2022,AA,72,656544,Colton Hock,641716,,1,2,2,1__,SB,second
671508,2022,AA,1,682077,Gabe Mosser,663618,,2,3,1,1__,SB,second
671508,2022,AA,6,687849,Zak Kent,667442,,4,1,0,1__,SB,second
671508,2022,AA,17,687849,Zak Kent,672361,,2,0,0,12_,SB,second
671508,2022,AA,21,687849,Zak Kent,641525,,2,2,3,1__,SB,second
671508,2022,AA,61,675923,Ryan Lillie,677690,,1,1,2,123,SB,second
671216,2022,AA,31,687798,Nick Robertson,656431,,4,2,0,1__,SB,second
671567,2022,AA,3,669370,Asa Lacy,670242,,2,3,3,1__,SB,second
671567,2022,AA,7,669946,Brandon Lawson,665890,,4,2,0,12_,SB,third
671567,2022,AA,61,662165,Austin Schulfer,686681,,4,2,2,1__,SB,second
673464,2022,AA,9,687109,Mitch Ragan,687401,,1,2,2,1__,CS,second
673464,2022,AA,56,640737,Kevin Gadea,687401,,2,2,3,12_,SB,third
673758,2022,AA,39,678258,Jerson Ramirez,656807,,2,1,1,1_3,SB,second
672871,2022,AA,9,666154,Karl Kauffmann,682619,,2,3,2,1__,CS,second
672871,2022,AA,13,696064,Geison Urbaez,680683,,4,2,0,1__,SB,second
672871,2022,AA,23,666154,Karl Kauffmann,672642,,1,0,3,1__,SB,second
672871,2022,AA,55,663971,Blair Calvo,665782,,3,2,1,_2_,CS,third
672871,2022,AA,59,681753,Adrian Hernandez,686668,,4,2,0,1__,SB,second
672353,2022,AA,19,687765,Mitch Spence,669398,,2,2,1,1_3,SB,second
672353,2022,AA,32,663684,Adam Wolf,660710,,4,2,2,_2_,SB,third
672484,2022,AA,26,676254,Ryan Walker,666165,,0,1,1,1_3,SB,second
672484,2022,AA,30,676254,Ryan Walker,670208,,3,2,2,123,SB,second
674349,2022,AA,5,659262,Anderson Espinoza,678554,,2,1,2,1__,CS,second
674349,2022,AA,20,659262,Anderson Espinoza,675659,,3,2,1,12_,SB,second
674349,2022,AA,21,659262,Anderson Espinoza,670224,,2,3,2,_2_,SB,third
674349,2022,AA,51,663379,Graham Lawson,675659,,4,1,2,12_,SB,second
674349,2022,AA,52,663379,Graham Lawson,670224,,1,1,3,1__,SB,second
672192,2022,AA,3,669923,George Kirby,660168,,1,3,3,_2_,SB,third
674022,2022,AA,2,681066,Ky Bush,682192,,4,1,1,_2_,SB,third
674022,2022,AA,20,681066,Ky Bush,687859,,0,3,3,1__,SB,second
674022,2022,AA,23,686856,Cody Mincey,664334,,1,3,2,1__,SB,second
674022,2022,AA,27,681066,Ky Bush,657617,,4,2,1,1__,SB,second
674022,2022,AA,52,681006,Josh Simpson,670867,,1,3,3,1__,CS,second
674022,2022,AA,65,681871,Eli Villalobos,641945,,0,1,1,1__,SB,second
674022,2022,AA,66,681871,Eli Villalobos,664097,,3,2,1,_23,SB,third
674942,2022,AA,21,676206,Freddy Tarnok,656883,,3,2,3,1__,CS,second
674942,2022,AA,52,663823,Troy Bacon,687478,,0,2,2,12_,SB,second
674942,2022,AA,56,663534,Nash Walters,680672,,2,1,0,12_,SB,second
671507,2022,AA,21,672385,Gabe Morales,687005,,4,1,2,1__,SB,second
671623,2022,AA,1,679525,Alec Marsh,657017,,1,2,1,12_,SB,second
671623,2022,AA,11,679525,Alec Marsh,650883,,1,3,2,1__,SB,second
674022,2022,AA,2,681066,Ky Bush,682192,,4,1,1,_2_,SB,third
674022,2022,AA,20,681066,Ky Bush,687859,,0,3,3,1__,SB,second
674022,2022,AA,23,686856,Cody Mincey,664334,,1,3,2,1__,SB,second
674022,2022,AA,27,681066,Ky Bush,657617,,4,2,1,1__,SB,second
674022,2022,AA,52,681006,Josh Simpson,670867,,1,3,3,1__,CS,second
674022,2022,AA,65,681871,Eli Villalobos,641945,,0,1,1,1__,SB,second
674022,2022,AA,66,681871,Eli Villalobos,664097,,3,2,1,_23,SB,third
673127,2022,AA,19,622703,Ronald Herrera,683766,,1,1,2,1_3,SB,second
673127,2022,AA,41,622703,Ronald Herrera,663526,,3,1,1,12_,SB,second
673465,2022,AA,24,676130,José Buttó,669898,,1,3,2,1_3,SB,second
673757,2022,AA,23,671106,Logan Allen,620442,,0,3,3,1__,SB,second
673757,2022,AA,28,657745,Bubby Rossman,663834,,2,3,3,1__,SB,second
673757,2022,AA,42,669062,Erik Miller,687588,,2,3,2,1__,SB,second
673757,2022,AA,72,686842,McKinley Moore,686659,,4,0,2,1__,SB,second
672331,2022,AA,2,682044,Sean Boyle,693307,,3,3,2,12_,SB,second
672331,2022,AA,20,682044,Sean Boyle,686531,,2,2,3,12_,SB,second
672331,2022,AA,22,681857,Reese Olson,685313,,2,0,1,12_,SB,second
672331,2022,AA,32,681857,Reese Olson,661733,,1,3,3,12_,CS,third
672331,2022,AA,37,682121,Jared Tobey,685313,,2,3,2,1__,CS,second
672522,2022,AA,3,676804,Jake Dahlberg,666165,,1,1,2,12_,SB,second
672522,2022,AA,53,656937,Tyler Schimpf,670208,,1,3,1,1__,SB,second
674544,2022,AA,12,674285,Eduardo Salazar,676827,,4,2,2,123,CS,third
674544,2022,AA,16,656240,Scott Blewett,688005,,2,3,1,1__,SB,second
674544,2022,AA,43,656077,Félix Paulino,686759,,3,3,3,1__,SB,second
674544,2022,AA,51,663657,Garrett Davila,687066,,4,2,1,1__,SB,second
674544,2022,AA,53,663657,Garrett Davila,660844,,1,2,2,123,SB,third
672186,2022,AA,37,681989,Dalton Roach,687659,,3,2,3,1__,SB,second
672186,2022,AA,43,621377,Tyler Pike,666143,,4,1,1,1__,SB,second
674944,2022,AA,2,554241,Andy Otero,675966,,3,1,3,1__,CS,second
674944,2022,AA,37,668319,Coleman Huntley III,680589,,2,2,0,12_,SB,second
674944,2022,AA,38,668319,Coleman Huntley III,686894,,0,3,2,1__,CS,second
674015,2022,AA,36,643239,Parker Bugg,664097,,4,2,2,12_,SB,second
674015,2022,AA,61,621455,Sean McLaughlin,687859,,2,1,2,12_,SB,second
671671,2022,AA,40,681958,Devin Conn,680869,,1,1,2,12_,SB,second
671483,2022,AA,45,666151,Kevin Gowdy,676759,,4,1,0,1__,SB,second
671483,2022,AA,46,666151,Kevin Gowdy,641525,,2,1,1,123,SB,third
671204,2022,AA,13,681402,Gus Varland,682749,,3,3,3,1__,SB,second
671204,2022,AA,20,681402,Gus Varland,666150,,1,2,0,123,SB,second
671204,2022,AA,70,670871,Guillo Zuñiga,686527,,1,1,2,1_3,SB,second
