pitcher_id,pitcher_name,season,level_name,opp_1b_2b,opp_2b_3b,games,total_opps,sb,cs,attempts,attempt_rate,success_rate,sb_rate
400072,Juan Antonio Pena,2019,AAA,35,19,15,54,2,1,3,0.05555555555555555,0.6666666666666666,0.037037037037037035
400141,Horacio Ramirez,2019,AAA,28,6,18,34,1,0,1,0.029411764705882353,1.0,0.029411764705882353
407845,Fernando Rodney,2019,AAA,7,3,6,10,2,0,2,0.2,1.0,0.2
407878,Jose Valverde,2019,AAA,22,20,26,42,3,1,4,0.09523809523809523,0.75,0.07142857142857142
407924,Manny Acosta,2019,AAA,30,15,25,45,1,0,1,0.022222222222222223,1.0,0.022222222222222223
408061,Francisco Rodríguez,2019,AAA,3,3,4,6,1,0,1,0.16666666666666666,1.0,0.16666666666666666
408233,Francisco Campos,2019,AAA,25,14,8,39,0,2,2,0.05128205128205128,0.0,0.0
425564,Francisco Del Rosario,2019,AAA,48,40,30,88,8,0,8,0.09090909090909091,1.0,0.09090909090909091
425656,Wilfredo Ledezma,2019,AAA,5,5,5,10,0,0,0,0.0,,0.0
425784,René Rivera,2019,AAA,2,2,1,4,0,0,0,0.0,,0.0
425900,Dioner Navarro,2019,AAA,1,1,1,2,0,0,0,0.0,,0.0
429440,Edgar Gonzalez,2019,AAA,81,44,23,125,2,3,5,0.04,0.4,0.016
429719,Edwin Jackson,2019,AAA,16,5,5,21,0,0,0,0.0,,0.0
429722,Ervin Santana,2019,AAA,59,27,15,86,5,3,8,0.09302325581395349,0.625,0.05813953488372093
429901,Sergio Mitre,2019,AAA,91,40,20,131,14,2,16,0.12213740458015267,0.875,0.10687022900763359
429985,Chad Gaudin,2019,AAA,10,6,7,16,2,0,2,0.125,1.0,0.125
430613,Ronald Belisario,2019,AAA,47,16,27,63,3,0,3,0.047619047619047616,1.0,0.047619047619047616
430634,Sean Burnett,2019,AAA,9,3,5,12,0,0,0,0.0,,0.0
430935,Cole Hamels,2019,AAA,4,1,2,5,1,0,1,0.2,1.0,0.2
433587,Félix Hernández,2019,AAA,5,3,2,8,1,0,1,0.125,1.0,0.125
434564,Zack Segovia,2019,AAA,46,36,40,82,14,1,15,0.18292682926829268,0.9333333333333333,0.17073170731707318
434669,Luis Mendoza,2019,AAA,21,10,5,31,4,0,4,0.12903225806451613,1.0,0.12903225806451613
444556,Santiago Gutierrez,2019,AAA,47,14,27,61,2,1,3,0.04918032786885246,0.6666666666666666,0.03278688524590164
445060,Ricky Nolasco,2019,AAA,10,10,5,20,2,0,2,0.1,1.0,0.1
445153,Darin Downs,2019,AAA,2,2,2,4,0,0,0,0.0,,0.0
445994,Alexis Candelario,2019,AAA,42,9,10,51,1,3,4,0.0784313725490196,0.25,0.0196078431372549
445995,Arturo Lopez,2019,AAA,81,27,22,108,0,2,2,0.018518518518518517,0.0,0.0
446003,Jairo Asencio,2019,AAA,3,2,3,5,0,0,0,0.0,,0.0
446185,Logan Ondrusek,2019,AAA,59,27,17,86,1,2,3,0.03488372093023256,0.3333333333333333,0.011627906976744186
