pitcher_id,pitcher_name,season,league_name,level_name,total_opps,sb,cs,attempts,games,attempt_rate,success_rate,sb_rate
658647,Tomás Alastre,2021,Low-A East,Low-A,5,1,0,1,1,0.2,1.0,0.2
663353,Devon Roedahl,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
663642,Josh Smith,2021,Low-A East,Low-A,5,0,0,0,1,0.0,,0.0
663673,Tyson Messer,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
663782,Joe Corbett,2021,Low-A East,Low-A,0,0,0,0,1,,,
664691,Garvin Alston,2021,Low-A East,Low-A,3,0,0,0,1,0.0,,0.0
665734,Angel Felipe,2021,Low-A East,Low-A,0,0,0,0,1,,,
665959,Abdiel Mendoza,2021,Low-A East,Low-A,3,0,0,0,1,0.0,,0.0
666016,Jose Albertos,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
667414,Cody Scroggins,2021,Low-A East,Low-A,4,2,0,2,1,0.5,1.0,0.5
667429,Jake Reindl,2021,Low-A East,Low-A,1,1,0,1,1,1.0,1.0,1.0
669389,Davis Moore,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
669391,Owen White,2021,Low-A East,Low-A,4,0,1,1,1,0.25,0.0,0.0
669445,Adam Laskey,2021,Low-A East,Low-A,6,2,0,2,1,0.3333333333333333,1.0,0.3333333333333333
669648,John Doxakis,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
669799,Alfonso Hernández,2021,Low-A East,Low-A,3,1,0,1,1,0.3333333333333333,1.0,0.3333333333333333
670191,A.J. Block,2021,Low-A East,Low-A,0,0,0,0,1,,,
671111,Sammy Peralta,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
671142,Jaime Arias,2021,Low-A East,Low-A,4,0,0,0,1,0.0,,0.0
672693,Martin Carrasco,2021,Low-A East,Low-A,0,0,0,0,1,,,
673111,José Lopez,2021,Low-A East,Low-A,3,0,0,0,1,0.0,,0.0
673389,Ismael Aquino,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
674175,Houston Roth,2021,Low-A East,Low-A,4,0,0,0,1,0.0,,0.0
674379,Daritzon Feliz,2021,Low-A East,Low-A,4,0,0,0,1,0.0,,0.0
675540,Xzavion Curry,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
675564,Eric Mock,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
676215,Aaron Perry,2021,Low-A East,Low-A,4,0,0,0,1,0.0,,0.0
676247,Brandon Jenkins,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
676285,Leif Strom,2021,Low-A East,Low-A,8,0,0,0,1,0.0,,0.0
676515,Cam Robinson,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
677040,Scott Kobos,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
677674,Estarlin Rodriguez,2021,Low-A East,Low-A,6,0,0,0,1,0.0,,0.0
677961,Cole Wilcox,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
678429,Manuel Espinoza,2021,Low-A East,Low-A,4,0,0,0,1,0.0,,0.0
678581,Karlo Seijas,2021,Low-A East,Low-A,7,0,0,0,1,0.0,,0.0
679062,Jonathan Sprinkle,2021,Low-A East,Low-A,3,0,0,0,1,0.0,,0.0
680048,Aldo Ramirez,2021,Low-A East,Low-A,6,2,0,2,1,0.3333333333333333,1.0,0.3333333333333333
680991,Jhoan Cruz,2021,Low-A East,Low-A,6,1,0,1,1,0.16666666666666666,1.0,0.16666666666666666
681183,Wyatt Sparks,2021,Low-A East,Low-A,5,0,0,0,1,0.0,,0.0
681407,Blake Whitney,2021,Low-A East,Low-A,0,0,0,0,1,,,
681704,Juan Geraldo,2021,Low-A East,Low-A,0,0,0,0,1,,,
681795,Ryan Conroy,2021,Low-A East,Low-A,6,2,0,2,1,0.3333333333333333,1.0,0.3333333333333333
681834,Tanner Driskill,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
681839,Leury Tejada,2021,Low-A East,Low-A,3,0,0,0,1,0.0,,0.0
681931,Nick Starr,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
681966,Marcus Evey,2021,Low-A East,Low-A,4,1,0,1,1,0.25,1.0,0.25
682028,Rigo Fernandez,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
682078,Zach Seipel,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
682842,Abner Uribe,2021,Low-A East,Low-A,0,0,0,0,1,,,
682982,Daniel Espino,2021,Low-A East,Low-A,4,0,0,0,1,0.0,,0.0
684941,Brayden Theriot,2021,Low-A East,Low-A,0,0,0,0,1,,,
685377,Misael Tamarez,2021,Low-A East,Low-A,6,1,0,1,1,0.16666666666666666,1.0,0.16666666666666666
685461,Cesar Gomez,2021,Low-A East,Low-A,1,0,0,0,1,0.0,,0.0
686560,Gavin Collyer,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
686643,Andrew Dalquist,2021,Low-A East,Low-A,2,0,0,0,1,0.0,,0.0
686745,Zach Peek,2021,Low-A East,Low-A,8,0,0,0,1,0.0,,0.0
