pitcher_id,pitcher_name,season,league_name,level_name,total_opps,sb,cs,attempts,games,attempt_rate,success_rate,sb_rate
650504,Breiling Eusebio,2021,Low-A West,Low-A,6,0,0,0,1,0.0,,0.0
658788,Mailon Arroyo,2021,Low-A West,Low-A,2,2,0,2,1,1.0,1.0,1.0
663568,Stephen Kolek,2021,Low-A West,Low-A,3,1,0,1,1,0.3333333333333333,1.0,0.3333333333333333
663627,Clay Helvey,2021,Low-A West,Low-A,1,0,0,0,1,0.0,,0.0
663971,Blair Calvo,2021,Low-A West,Low-A,1,1,0,1,1,1.0,1.0,1.0
664330,Jose Mora,2021,Low-A West,Low-A,1,0,0,0,1,0.0,,0.0
665646,Jorge Labrador,2021,Low-A West,Low-A,3,2,0,2,1,0.6666666666666666,1.0,0.6666666666666666
666138,Tony Locey,2021,Low-A West,Low-A,2,0,0,0,1,0.0,,0.0
666768,Anderson Pilar,2021,Low-A West,Low-A,0,0,0,0,1,,,
666817,Duilio Ochoa,2021,Low-A West,Low-A,4,0,0,0,1,0.0,,0.0
667322,Jhosua Alcantara,2021,Low-A West,Low-A,6,0,0,0,1,0.0,,0.0
667380,Jhonny Valdez,2021,Low-A West,Low-A,0,0,0,0,1,,,
667669,Keegan James,2021,Low-A West,Low-A,1,0,0,0,1,0.0,,0.0
668660,Dakota Donovan,2021,Low-A West,Low-A,2,0,0,0,1,0.0,,0.0
668736,Mike Ruff,2021,Low-A West,Low-A,2,0,0,0,1,0.0,,0.0
668793,Garrett Lawson,2021,Low-A West,Low-A,3,2,0,2,1,0.6666666666666666,1.0,0.6666666666666666
668878,Robbie Peto,2021,Low-A West,Low-A,3,0,0,0,1,0.0,,0.0
669192,Wil Jensen,2021,Low-A West,Low-A,2,0,0,0,1,0.0,,0.0
669435,Mitchell Kilkenny,2021,Low-A West,Low-A,1,0,0,0,1,0.0,,0.0
669796,Jose E. Hernandez,2021,Low-A West,Low-A,0,0,0,0,1,,,
670183,Garrett Acton,2021,Low-A West,Low-A,3,0,0,0,1,0.0,,0.0
670247,Ty Weber,2021,Low-A West,Low-A,4,1,0,1,1,0.25,1.0,0.25
672353,Michell Miliano,2021,Low-A West,Low-A,3,1,0,1,1,0.3333333333333333,1.0,0.3333333333333333
672382,Luis Moreno,2021,Low-A West,Low-A,6,0,0,0,1,0.0,,0.0
672385,Gabe Morales,2021,Low-A West,Low-A,0,0,0,0,1,,,
672755,Aldry Acosta,2021,Low-A West,Low-A,0,0,0,0,1,,,
672860,Prelander Berroa,2021,Low-A West,Low-A,2,0,1,1,1,0.5,0.0,0.0
