"player_id","player_name","team_name","start_year","end_year","key_target_base","runs_prevented_on_running_attr","n_pitcher_cs_aa","n_init","rate_sbx","n_sb","n_cs","n_pk","n_bk","n_fb","n_plus","n_minus","net_attr_plus","net_attr_minus","r_primary_lead","r_secondary_lead","r_sec_minus_prim_lead","r_primary_lead_sbx","r_secondary_lead_sbx","r_sec_minus_prim_lead_sbx"
680983,"Cáceres, Kelvin","LAA",2023,2023,"All",0.0021855023644409143,,24,0,0,0,0,0,0,0,0,0.031312511822204535,-0.009059999999999985,"11.801166667","15.597291667","3.796125",,,
668678,"Gallen, Zac","AZ",2023,2023,"All",0.7754998355473649,0.6345120182245481,1086,0.006445672191528545,3,4,0,1,0,4,4,6.465836004667986,-1.150371923080515,"11.678879753","16.068439877","4.389560123","11.496142857","20.690857143","9.194714286"
664747,"Díaz, Alexis","CIN",2023,2023,"All",-0.9786745305911861,-0.7547123007748984,444,0.02927927927927928,10,3,0,0,0,10,3,-6.770245513187258,0.8341657156583729,"12.301288056","17.408805621","5.107517564","11.868","24.160769231","12.292769231"
657031,"Taylor, Josh","KC",2023,2023,"All",-0.21553146100676432,-0.2672623842410581,97,0.020618556701030927,2,0,0,0,0,2,0,-0.9228179937039169,-0.06881747170217954,"11.829210526","15.534894737","3.705684211","11.763","25.951","14.188"
663629,"Small, Ethan","MIL",2023,2023,"All",0.01595806831778934,,63,0,0,0,0,0,0,0,0,0.2367728415889467,-0.06977000000000007,"13.000774194","16.152709677","3.151935484",,,
600921,"Machado, Andrés","WSH",2023,2023,"All",-0.6116420320431417,-0.3974908666938863,298,0.020134228187919462,6,0,0,1,0,7,0,-2.697150690401336,-0.16047087547306063,"11.839899281","16.390327338","4.550428058","11.925","25.678333333","13.753333333"
500871,"Escobar, Eduardo","LAA",2023,2023,"All",0.03223054751658004,,26,0,0,0,0,0,0,0,0,0.3069077375829002,-0.06478,"9.624615385","12.713615385","3.089",,,
669713,"Wesneski, Hayden","CHC",2023,2023,"All",0.5801382253926883,0.37406799101537885,481,0.006237006237006237,2,1,0,0,0,2,1,4.286111944165903,-0.6157425854233197,"11.761569794","15.804720824","4.04315103","11.83","20.659","8.829"
669724,"Hanifee, Brenan","DET",2023,2023,"All",0.06136681265928847,,31,0,0,0,0,0,0,0,0,0.5581590632964425,-0.1117,"11.652516129","14.323774194","2.671258065",,,
676272,"Miller, Bobby","LAD",2023,2023,"All",-0.3729190566155059,-0.29301629956091557,588,0.023809523809523808,13,1,0,0,0,13,1,-3.697213174583625,0.8144968406693722,"11.353130973","15.461688496","4.108557522","12.1165","23.113142857","10.996642857"
689147,"Kerkering, Orion","PHI",2023,2023,"All",0.0025424169111314546,,19,0,0,0,0,0,0,0,0,0.07935708455565732,-0.02962000000000002,"13.686666667","17.944222222","4.257555556",,,
682052,"Lopez, Jacob","TB",2023,2023,"All",0.02582460673338682,,66,0,0,0,0,0,0,0,0,0.38591553366693415,-0.11412999999999997,"12.184454545","15.051909091","2.867454545",,,
681867,"Criswell, Cooper","TB",2023,2023,"All",0.06474306137008191,0.1596742257129895,212,0.014150943396226415,2,1,0,0,0,2,1,0.0060593848805215594,0.14118040976439875,"12.172785","15.76969","3.596905","12.982666667","20.068666667","7.086"
669330,"Wells, Tyler","BAL",2023,2023,"All",0.41099444376717326,0.13961373607929958,585,0.003418803418803419,2,0,1,2,0,4,1,2.464586146238285,-0.18205063440106894,"11.564609091","15.232489091","3.66788","9.067","20.0265","10.9595"
