"entity_name","entity_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"Navarreto, Brian","640459",146,"25",,"0.66","1","1.8","1.8",,"0",,,
"Realmuto, J.T.","592663",143,"29","87.2","0.69","10","1.81","1.85","1.78","1","1.4",,"1.4"
"Higashioka, Kyle","543309",147,"30","81.8","0.69","3","1.9","1.86","1.91","3","1.44","1.47","1.4"
"Alfaro, Jorge","595751",146,"27","87.6","0.81","10","1.98","1.87","2.05","1","1.53",,"1.53"
"Haase, Eric","606992",116,"27","82.6","0.69","4","1.86","1.87","1.85","0",,,
"Nottingham, Jacob","641924",158,"25","84.1","0.76","5","1.9","1.87","1.91","1","1.59",,"1.59"
"Nido, Tomás","621512",121,"26","79","0.65","4","1.93","1.88","1.94","1","1.58",,"1.58"
"Murphy, Sean","669221",133,"25","86.9","0.72","15","1.88","1.89","1.87","1","1.41",,"1.41"
"Greiner, Grayson","606988",116,"27","81.9","0.75","5","1.95","1.89","1.97","1","1.53","1.53",
"Rivera, René","425784",121,"36",,"0.88","1","1.9","1.9",,"0",,,
"Castro, Jason","488771",135,"33","82.4","0.74","9","1.96","1.91","1.98","1","1.46","1.46",
"Perez, Salvador","521692",118,"30","81","0.75","7","1.99","1.91","2.04","0",,,
"Hedges, Austin","595978",114,"27","81.3","0.68","7","1.88","1.92","1.87","3","1.45","1.45",
"Torrens, Luis","620443",136,"24","81.8","0.73","6","1.97","1.92","1.98","0",,,
"Díaz, Elias","553869",115,"29","82.7","0.67","6","1.9","1.92","1.9","0",,,
"Zunino, Mike","572287",139,"29","80.2","0.65","10","1.91","1.92","1.89","0",,,
"Contreras, Willson","575929",112,"28","84.3","0.75","20","1.94","1.92","1.95","1","1.48","1.48",
"Maldonado, Martín","455117",117,"33","84.5","0.74","12","1.91","1.92","1.9","0",,,
"Bemboom, Anthony","621532",108,"30","81","0.72","13","1.94","1.93","1.95","0",,,
"McCann, James","543510",145,"30","79.7","0.69","4","1.92","1.93","1.92","1","1.48","1.48",
"Nola, Austin","543592",135,"30","79.6","0.73","17","1.95","1.94","1.95","1","1.55","1.55",
"Stassi, Max","545358",108,"29","79.6","0.71","25","1.98","1.94","1.99","2","1.52","1.56","1.47"
"Narváez, Omar","553882",158,"28","77.6","0.69","13","1.96","1.94","1.97","1","1.59",,"1.59"
"Vázquez, Christian","543877",111,"29","79.5","0.69","19","1.97","1.94","1.99","2","1.84","2.29","1.4"
"Knapp, Andrew","595284",143,"28","81.9","0.77","7","1.95","1.95","1.95","0",,,
"Heineman, Tyler","623168",137,"29","76.9","0.66","6","1.95","1.96","1.93","3","1.47","1.51","1.45"
"Caratini, Victor","605170",112,"26","80.2","0.75","4","2","1.96","2.01","0",,,
"Butera, Drew","460077",115,"36","84.4","0.75","6","1.93","1.96","1.91","0",,,
"McGuire, Reese","624512",141,"25","75.2","0.68","5","1.98","1.96","1.99","0",,,
"Varsho, Daulton","662139",109,"23","76.6","0.85","3","2.1","1.96","2.18","0",,,
"Brantly, Rob","542963",137,"30","75.9","0.75","2","2.05","1.96","2.15","0",,,
"Bart, Joey","663698",137,"23","84.2","0.75","13","2.01","1.96","2.03","0",,,
"Chirinos, Robinson","455139",121,"36","77.9","0.77","8","2","1.97","2.01","0",,,
"Holaday, Bryan","592407",110,"32","77.1","0.68","1","1.97","1.97",,"0",,,
"Pérez, Michael","605421",139,"27","81.3","0.73","8","1.97","1.97","1.96","2","1.54","1.56","1.52"
"Stephenson, Tyler","663886",113,"23","83.9","0.78","2","1.98","1.97","1.99","0",,,
"Heim, Jonah","641680",133,"25","83","0.8","2","1.95","1.97","1.93","0",,,
"Molina, Yadier","425877",138,"37","81.7","0.71","9","1.95","1.97","1.93","0",,,
"Sánchez, Gary","596142",147,"27","92.8","0.7","7","1.94","1.97","1.91","2","1.48","1.49","1.46"
"Wolters, Tony","547172",115,"28","75.9","0.72","8","1.95","1.98","1.94","0",,,
"Knizner, Andrew","668800",138,"25","82.9","0.8","3","1.98","1.98","1.97","0",,,
"Barnhart, Tucker","571466",113,"29","77.4","0.69","9","1.98","1.99","1.97","1","1.41","1.41",
"Garneau, Dustin","572863",117,"32","78.9","0.7","9","1.97","1.99","1.97","2","1.45","1.49","1.41"
"León, Sandy","506702",114,"31","76.8","0.72","9","2.03","1.99","2.03","0",,,
"Barnes, Austin","605131",119,"30","76","0.71","14","2.05","1.99","2.06","1","1.59",,"1.59"
"Wallach, Chad","595453",146,"28","80","0.73","7","1.98","1.99","1.98","0",,,
"Mathis, Jeff","425772",140,"37","79.5","0.7","11","1.98","1.99","1.97","0",,,
"Smith, Will","669257",119,"25","82.7","0.8","13","2.01","1.99","2.02","0",,,
"Pérez, Roberto","547379",114,"31","78.9","0.75","11","1.98","1.99","1.96","1","2.05","2.05",
"Piña, Manny","444489",158,"33","82.5","0.74","8","2","2","1.99","0",,,
"Grandal, Yasmani","518735",145,"31","77.5","0.67","6","1.98","2","1.94","0",,,
"Kratz, Erik","456124",147,"40","81.1","0.76","4","1.98","2","1.96","0",,,
