gamePk,season,level_name,play_idx,pitcher_id,pitcher_name,batter_id,balls,strikes,outs,runner_state,opp_1b_2b,opp_2b_3b
575295,2019,AAA,5,461829,Gio González,519299,2,2,0,1__,1,0
575295,2019,AAA,7,461829,Gio González,624415,0,0,0,1__,1,0
575295,2019,AAA,9,461829,Gio González,542992,1,2,2,1_3,1,0
575295,2019,AAA,16,461829,Gio González,666182,0,0,3,1__,1,0
575295,2019,AAA,22,461829,Gio González,546990,1,1,1,1__,1,0
575295,2019,AAA,23,461829,Gio González,624415,1,1,1,_2_,0,1
575295,2019,AAA,31,461829,Gio González,665039,0,0,0,1__,1,0
575295,2019,AAA,32,461829,Gio González,605231,0,1,0,12_,0,1
575295,2019,AAA,35,461829,Gio González,546990,1,2,2,1__,1,0
575295,2019,AAA,40,621097,Jacob Waguespack,664011,2,0,2,1__,1,0
575295,2019,AAA,41,621097,Jacob Waguespack,645801,1,0,2,12_,0,1
575295,2019,AAA,42,621097,Jacob Waguespack,570482,1,0,3,1__,1,0
575295,2019,AAA,53,665045,Corey Copping,641741,3,1,1,_2_,0,1
575295,2019,AAA,61,607729,David Sosebee,641958,3,3,3,1__,1,0
575931,2019,AAA,1,502327,Héctor Santiago,491676,1,0,1,1__,1,0
575931,2019,AAA,2,502327,Héctor Santiago,656308,4,2,2,1__,1,0
575931,2019,AAA,8,502327,Héctor Santiago,573113,1,2,2,1__,1,0
575931,2019,AAA,14,502327,Héctor Santiago,657017,2,0,2,1__,1,0
575931,2019,AAA,16,502327,Héctor Santiago,491676,3,3,3,1__,1,0
575931,2019,AAA,19,642067,Mike Shawaryn,621420,0,2,1,1__,1,0
575931,2019,AAA,31,502327,Héctor Santiago,623166,2,0,1,1__,1,0
575931,2019,AAA,36,642067,Mike Shawaryn,425784,3,2,1,_2_,0,1
575931,2019,AAA,40,623149,Paul Sewald,656807,0,1,2,1__,1,0
575931,2019,AAA,45,642067,Mike Shawaryn,434658,1,2,1,1__,1,0
575931,2019,AAA,46,519393,Marcus Walden,607369,0,1,1,12_,0,1
575931,2019,AAA,47,519393,Marcus Walden,628297,1,0,2,_2_,0,1
575931,2019,AAA,50,621098,Eric Hanhold,623166,4,2,0,1__,1,0
575931,2019,AAA,51,621098,Eric Hanhold,657017,1,0,1,12_,0,1
575931,2019,AAA,65,657031,Josh Taylor,607369,4,2,2,1__,1,0
575931,2019,AAA,66,657031,Josh Taylor,628297,0,1,3,_2_,0,1
575931,2019,AAA,68,594951,Ryan O'Rourke,657017,0,0,0,1__,1,0
575931,2019,AAA,69,594951,Ryan O'Rourke,624407,1,1,1,12_,0,1
575931,2019,AAA,70,594951,Ryan O'Rourke,491676,0,0,3,1__,1,0
575931,2019,AAA,76,594951,Ryan O'Rourke,518490,4,0,1,12_,0,1
575931,2019,AAA,81,516769,Jenrry Mejia,621420,1,0,1,_2_,0,1
575645,2019,AAA,2,608335,Kyle Funkhouser,640447,3,2,1,1__,1,0
575645,2019,AAA,4,608335,Kyle Funkhouser,606157,2,3,3,1__,1,0
575645,2019,AAA,8,628333,Odrisamer Despaigne,622682,3,1,3,1__,1,0
575645,2019,AAA,10,608335,Kyle Funkhouser,492802,1,0,0,1__,1,0
575645,2019,AAA,12,608335,Kyle Funkhouser,664167,4,2,1,1__,1,0
575645,2019,AAA,15,608335,Kyle Funkhouser,640447,2,0,3,1__,1,0
575645,2019,AAA,22,608335,Kyle Funkhouser,642165,2,2,2,_2_,0,1
575645,2019,AAA,31,573204,Caleb Thielbar,640447,1,1,2,12_,0,1
575645,2019,AAA,32,573204,Caleb Thielbar,657434,1,3,3,1__,1,0
575645,2019,AAA,38,573204,Caleb Thielbar,492802,1,1,1,_2_,0,1
575645,2019,AAA,42,628333,Odrisamer Despaigne,650489,1,0,0,1__,1,0
575645,2019,AAA,43,628333,Odrisamer Despaigne,608475,1,0,0,12_,0,1
575645,2019,AAA,50,622783,Sandy Báez,518568,4,2,0,1__,1,0
575645,2019,AAA,62,623451,Jackson Stephens,519237,2,2,1,1__,1,0
575645,2019,AAA,64,642003,Cody Reed,663662,4,1,1,12_,0,1
575645,2019,AAA,66,621199,Matt Bowman,500135,2,2,2,_2_,0,1
575645,2019,AAA,67,621199,Matt Bowman,622682,1,0,2,12_,0,1
575645,2019,AAA,72,643617,Zac Reininger,640447,3,2,2,1__,1,0
575645,2019,AAA,75,621199,Matt Bowman,519237,0,1,2,1__,1,0
575645,2019,AAA,77,621199,Matt Bowman,663662,3,1,2,12_,0,1
575645,2019,AAA,78,621199,Matt Bowman,670143,2,2,2,1__,1,0
575645,2019,AAA,79,623474,Jimmy Herget,500135,4,2,2,1__,1,0
575435,2019,AAA,1,629496,Chih-Wei Hu,663647,2,1,2,1__,1,0
575435,2019,AAA,4,664141,JT Brubaker,471865,3,2,0,1__,1,0
575435,2019,AAA,5,664141,JT Brubaker,457727,2,1,2,12_,0,1
575435,2019,AAA,9,629496,Chih-Wei Hu,668804,2,2,1,1__,1,0
575435,2019,AAA,10,629496,Chih-Wei Hu,571467,4,2,1,12_,0,1
575435,2019,AAA,12,629496,Chih-Wei Hu,608382,4,0,2,12_,0,1
575435,2019,AAA,17,664141,JT Brubaker,572204,1,2,2,1__,1,0
575435,2019,AAA,21,572044,Brooks Pounders,643269,1,1,1,1__,1,0
575435,2019,AAA,26,664141,JT Brubaker,471865,4,2,0,1__,1,0
575435,2019,AAA,27,664141,JT Brubaker,457727,2,2,0,12_,0,1
575435,2019,AAA,38,664141,JT Brubaker,640458,2,2,3,12_,0,1
575435,2019,AAA,42,573074,R.C. Orlan,668804,2,2,3,1__,1,0
575435,2019,AAA,46,622338,Jesús Liranzo,606992,4,0,2,1__,1,0
575435,2019,AAA,47,622338,Jesús Liranzo,502273,1,1,3,_2_,0,1
575435,2019,AAA,52,622338,Jesús Liranzo,644374,4,1,0,1__,1,0
575435,2019,AAA,54,544928,Tyler Lyons,572204,4,2,1,12_,0,1
575435,2019,AAA,57,605280,Clay Holmes,471865,0,1,1,1_3,1,0
575435,2019,AAA,61,650493,Henry Martinez,663647,4,2,0,1__,1,0
575435,2019,AAA,62,595918,A.J. Cole,623182,2,2,2,12_,0,1
575435,2019,AAA,66,605280,Clay Holmes,656252,0,1,1,1__,1,0
575435,2019,AAA,74,595918,A.J. Cole,477054,0,1,2,_2_,0,1
575575,2019,AAA,2,543698,Donn Roach,663993,3,1,0,1__,1,0
575575,2019,AAA,5,543698,Donn Roach,624419,1,1,2,1__,1,0
575575,2019,AAA,13,543698,Donn Roach,623205,0,0,1,_2_,0,1
575575,2019,AAA,15,543698,Donn Roach,663993,2,3,3,_2_,0,1
575575,2019,AAA,18,607188,Jake Faria,605512,2,1,2,_2_,0,1
575575,2019,AAA,22,543698,Donn Roach,624419,3,2,1,1__,1,0
575575,2019,AAA,23,543698,Donn Roach,670712,1,0,3,1__,1,0
575575,2019,AAA,25,607188,Jake Faria,605508,1,2,0,1__,1,0
575575,2019,AAA,26,607188,Jake Faria,547170,1,1,1,12_,0,1
575575,2019,AAA,28,607188,Jake Faria,641470,0,0,2,1_3,1,0
575575,2019,AAA,30,607188,Jake Faria,446386,3,2,2,1_3,1,0
575575,2019,AAA,31,607188,Jake Faria,605512,3,2,2,1_3,1,0
575575,2019,AAA,35,543698,Donn Roach,664770,1,2,0,_2_,0,1
575575,2019,AAA,37,621394,Colton Turner,642221,2,2,2,1__,1,0
575575,2019,AAA,38,621394,Colton Turner,663993,2,2,2,12_,0,1
575575,2019,AAA,39,621394,Colton Turner,519295,4,0,2,1__,1,0
575575,2019,AAA,42,552640,Andrew Kittredge,547170,3,2,0,1__,1,0
575575,2019,AAA,43,552640,Andrew Kittredge,664901,1,1,0,1_3,1,0
575575,2019,AAA,50,621394,Colton Turner,630105,3,2,1,1__,1,0
575575,2019,AAA,53,605507,Zach Thompson,642221,4,0,2,1__,1,0
575575,2019,AAA,57,643493,Austin Pruitt,605508,1,2,3,1__,1,0
575575,2019,AAA,63,643493,Austin Pruitt,641470,3,2,1,_2_,0,1
575575,2019,AAA,66,643493,Austin Pruitt,605512,1,2,2,_2_,0,1
575575,2019,AAA,67,643493,Austin Pruitt,572365,2,1,3,1__,1,0
575575,2019,AAA,69,641656,Ian Hamilton,630105,0,2,0,1__,1,0
575575,2019,AAA,73,641656,Ian Hamilton,663993,3,2,3,1__,1,0
575575,2019,AAA,80,573668,Juan Minaya,670712,0,2,2,1__,1,0
