"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Winn, Masyn",691026,2024,"5","0","0","1","0","0","0","0","10","1","0",,"0"
"Bohm, Alec",664761,2024,"1","0","1","1","0","1","0","0","5","0","0",,"1"
"Frelick, Sal",686217,2024,"2","0","1","0","0","2","0","0","15","3","0",,"2"
"Rodgers, Brendan",663898,2024,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Semien, Marcus",543760,2024,"2","1","0","1","0","0","0","0","8","0","0",,"0"
"Benintendi, Andrew",643217,2024,"2","0","0","0","0","0","0","0","3","0","0",,"0"
"Merrill, Jackson",701538,2024,"3","0","0","0","0","2","0","0","16","0","0",,"2"
"Bregman, Alex",608324,2024,"1","0","0","2","0","1","0","0","2","1","0",,"1"
"Chisholm Jr., Jazz",665862,2024,"10","0","0","2","0","4","0","0","29","11","0",,"4"
"Mountcastle, Ryan",663624,2024,"0","0","0","0","0","0","0","0","3","0","0",,"0"
"Abrams, CJ",682928,2024,"10","2","0","2","0","6","1","0","24","7","0",,"7"
"Ohtani, Shohei",660271,2024,"3","1","0","2","0","1","1","0","50","9","0",,"2"
"Stott, Bryson",681082,2024,"3","0","0","1","0","1","1","0","31","1","0",,"2"
"Rutschman, Adley",668939,2024,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Diaz, Yainer",673237,2024,"0","0","0","0","0","0","0","0","2","0","0",,"0"
"Nimmo, Brandon",607043,2024,"0","0","0","0","0","0","0","0","14","1","0",,"0"
"Gurriel Jr., Lourdes",666971,2024,"1","0","0","1","0","0","0","0","7","0","0",,"0"
"Kwan, Steven",680757,2024,"4","1","0","1","0","1","0","0","11","0","1",,"1"
