"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
608718,"Suter, Brent","Pit",113,485,485,299,11.536,186,11.536,0.6721649484536083,0.32783505154639175,0
671106,"Allen, Logan","Pit",114,1186,1186,728,11.854,458,11.854,0.6256323777403036,0.37352445193929174,0.0008431703204047217
694738,"Roupp, Landen","Pit",137,854,854,526,11.86,328,11.86,0.6908665105386417,0.3079625292740047,0.00117096018735363
596001,"Junis, Jakob","Pit",114,500,500,309,11.875,191,11.875,0.72,0.27,0.01
571927,"Matz, Steven","Pit",111,510,510,331,12.251,179,12.251,0.6901960784313725,0.30980392156862746,0
628452,"Iglesias, Raisel","Pit",144,370,370,243,12.474,127,12.474,0.7621621621621621,0.23243243243243245,0.005405405405405406
693821,"Elder, Bryce","Pit",144,1102,1102,745,12.548,357,12.548,0.5871143375680581,0.411070780399274,0.0018148820326678765
663738,"Lynch IV, Daniel","Pit",118,513,513,284,12.615,229,12.615,0.5750487329434698,0.42300194931773877,0.001949317738791423
805673,"Matthews, Zebby","Pit",142,547,547,311,12.638,236,12.638,0.5009140767824497,0.48628884826325414,0.012797074954296161
682990,"Priester, Quinn","Pit",158,1119,1119,737,12.745,382,12.745,0.548704200178731,0.4459338695263628,0.005361930294906166
640455,"Manaea, Sean","Pit",121,435,435,287,12.811,148,12.811,0.671264367816092,0.3264367816091954,0.0022988505747126436
608566,"Márquez, Germán","Pit",115,847,847,507,12.908,340,12.908,0.5088547815820543,0.48642266824085006,0.004722550177095631
663903,"Singer, Brady","Pit",113,1284,1284,796,12.918,488,12.918,0.6051401869158879,0.39330218068535827,0.001557632398753894
592836,"Walker, Taijuan","Pit",143,919,919,590,12.944,329,12.944,0.5516866158868335,0.44504896626768226,0.003264417845484222
641745,"Keller, Brad","Pit",112,494,494,312,12.957,182,12.957,0.5647773279352226,0.4311740890688259,0.004048582995951417
680885,"Schwellenbach, Spencer","Pit",144,650,650,471,13.058,179,13.058,0.6384615384615384,0.36,0.0015384615384615385
607200,"Fedde, Erick","Pit",158,1072,1072,631,13.206,441,13.206,0.5018656716417911,0.4962686567164179,0.0018656716417910447
690990,"Horton, Cade","Pit",112,730,730,500,13.21,230,13.21,0.536986301369863,0.45616438356164385,0.00684931506849315
621242,"Díaz, Edwin","Pit",121,432,432,258,13.353,174,13.353,0.5254629629629629,0.4675925925925926,0.006944444444444444
702070,"Cameron, Noah","Pit",118,967,967,683,13.354,284,13.354,0.562564632885212,0.4332988624612203,0.004136504653567736
656794,"Newcomb, Sean","Pit",133,686,686,356,13.371,330,13.371,0.5204081632653061,0.47959183673469385,0
690928,"Dobbins, Hunter","Pit",111,416,416,265,13.447,151,13.447,0.5264423076923077,0.46634615384615385,0.007211538461538462
669674,"Long, Sam","Pit",118,332,332,183,13.491,149,13.491,0.46686746987951805,0.5210843373493976,0.012048192771084338
668678,"Gallen, Zac","Pit",109,1405,1405,933,13.511,472,13.511,0.5288256227758007,0.4669039145907473,0.004270462633451958
657277,"Webb, Logan","Pit",137,1443,1443,839,13.512,604,13.512,0.5488565488565489,0.45045045045045046,0.000693000693000693
695549,"Jobe, Jackson","Pit",116,397,397,218,13.538,179,13.538,0.4332493702770781,0.5617128463476071,0.005037783375314861
657612,"Hill, Tim","Pit",147,379,379,203,13.556,176,13.556,0.6306068601583114,0.36675461741424803,0.002638522427440633
693855,"Seymour, Ian","Pit",139,389,389,221,13.557,168,13.557,0.4601542416452442,0.5372750642673522,0.002570694087403599
806185,"Birdsong, Hayden","Pit",137,520,520,336,13.646,184,13.646,0.47307692307692306,0.5269230769230769,0
663687,"Harris, Hogan","Pit",133,494,494,258,13.651,236,13.651,0.4331983805668016,0.5647773279352226,0.0020242914979757085
687911,"King, Bryan","Pit",117,452,452,292,13.667,160,13.667,0.5641592920353983,0.4358407079646018,0
668984,"Legumina, Casey","Pit",136,372,372,207,13.674,165,13.674,0.510752688172043,0.478494623655914,0.010752688172043012
592866,"Williams, Trevor","Pit",120,645,645,400,13.698,245,13.698,0.4806201550387597,0.5162790697674419,0.0031007751937984496
656557,"Houck, Tanner","Pit",111,354,354,208,13.715,146,13.715,0.4943502824858757,0.5028248587570622,0.002824858757062147
607625,"Lugo, Seth","Pit",118,1122,1122,718,13.745,404,13.745,0.5311942959001783,0.4661319073083779,0.00267379679144385
656849,"Peterson, David","Pit",121,1202,1202,783,13.754,419,13.754,0.47920133111480867,0.519134775374376,0.0016638935108153079
477132,"Kershaw, Clayton","Pit",119,758,758,524,13.836,234,13.836,0.47229551451187335,0.5263852242744064,0.0013192612137203166
