"last_name, first_name","player_id","year","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba"
"Davis, J.D.",605204,2023,,,,,,,,,,
"Ozuna, Marcell",542303,2023,,,,,,,,,,
"Torkelson, Spencer",679529,2023,,,,,,,,,,
"Tovar, Ezequiel",678662,2023,,,,,,,,,,
"Suárez, Eugenio",553993,2023,,,,,,,,,,
"Santana, Carlos",467793,2023,,,,,,,,,,
"LeMahieu, DJ",518934,2023,,,,,,,,,,
"Bell, Josh",605137,2023,,,,,,,,,,
"Suzuki, Seiya",673548,2023,,,,,,,,,,
"Melendez Jr., MJ",669004,2023,"3","2.1","2.1",,"1","1.6","1.6",,"0.75","79.7"
"Acuña Jr., Ronald",660670,2023,,,,,,,,,,
"Hernández, Teoscar",606192,2023,,,,,,,,,,
"Raleigh, Cal",663728,2023,"66","1.96","1.97","1.95","8","1.47","1.47",,"0.68","84.8"
"Riley, Austin",663586,2023,,,,,,,,,,
"Lowe, Nathaniel",663993,2023,,,,,,,,,,
"Springer III, George",543807,2023,,,,,,,,,,
"Renfroe, Hunter",592669,2023,,,,,,,,,,
"Garcia, Maikel",672580,2023,,,,,,,,,,
"Nimmo, Brandon",607043,2023,,,,,,,,,,
"Santander, Anthony",623993,2023,,,,,,,,,,
"Rooker Jr., Brent",667670,2023,,,,,,,,,,
"Báez, Javier",595879,2023,,,,,,,,,,
"Guerrero Jr., Vladimir",665489,2023,,,,,,,,,,
"Rodríguez, Julio",677594,2023,,,,,,,,,,
"Nootbaar, Lars",663457,2023,,,,,,,,,,
"Devers, Rafael",646240,2023,,,,,,,,,,
"Soto, Juan",665742,2023,,,,,,,,,,
"Jung, Josh",673962,2023,,,,,,,,,,
"Steer, Spencer",668715,2023,,,,,,,,,,
"Bohm, Alec",664761,2023,,,,,,,,,,
"Vierling, Matt",663837,2023,,,,,,,,,,
"Lindor, Francisco",596019,2023,,,,,,,,,,
"Meneses, Joey",608841,2023,,,,,,,,,,
"Smith, Dominic",642086,2023,,,,,,,,,,
"Taveras, Leody",665750,2023,,,,,,,,,,
"Reynolds, Bryan",668804,2023,,,,,,,,,,
"Adames, Willy",642715,2023,,,,,,,,,,
"Yoshida, Masataka",807799,2023,,,,,,,,,,
"Thomas, Lane",657041,2023,,,,,,,,,,
"Semien, Marcus",543760,2023,,,,,,,,,,
"Tucker, Kyle",663656,2023,,,,,,,,,,
"McNeil, Jeff",643446,2023,,,,,,,,,,
"Walker, Christian",572233,2023,,,,,,,,,,
"Bogaerts, Xander",593428,2023,,,,,,,,,,
"Merrifield, Whit",593160,2023,,,,,,,,,,
"Swanson, Dansby",621020,2023,,,,,,,,,,
"Anderson, Tim",641313,2023,,,,,,,,,,
"Abrams, CJ",682928,2023,,,,,,,,,,
"Castellanos, Nick",592206,2023,,,,,,,,,,
"Edman, Tommy",669242,2023,,,,,,,,,,
"McKinstry, Zach",656716,2023,,,,,,,,,,
"Soler, Jorge",624585,2023,,,,,,,,,,
"Perez, Salvador",521692,2023,"26","1.98","1.98","1.97","7","1.51","1.52","1.44","0.63","80"
"Ohtani, Shohei",660271,2023,,,,,,,,,,
"Kim, Ha-Seong",673490,2023,,,,,,,,,,
"Rutschman, Adley",668939,2023,"51","1.91","1.91","1.92","4","1.46","1.46",,"0.65","85.3"
"Henderson, Gunnar",683002,2023,,,,,,,,,,
"Seager, Corey",608369,2023,,,,,,,,,,
"Hays, Austin",669720,2023,,,,,,,,,,
"Grisham, Trent",663757,2023,,,,,,,,,,
"Stott, Bryson",681082,2023,,,,,,,,,,
"Verdugo, Alex",657077,2023,,,,,,,,,,
"De La Cruz, Bryan",650559,2023,,,,,,,,,,
"Ruiz, Keibert",660688,2023,"64","2.06","2.06","2.05","5","1.56","1.56","1.56","0.68","77.8"
"Witt Jr., Bobby",677951,2023,,,,,,,,,,
"Realmuto, J.T.",592663,2023,"50","1.83","1.84","1.83","5","1.4","1.41","1.36","0.59","86.6"
"Arozarena, Randy",668227,2023,,,,,,,,,,
"Crawford, J.P.",641487,2023,,,,,,,,,,
"Torres, Gleyber",650402,2023,,,,,,,,,,
"Betts, Mookie",605141,2023,,,,,,,,,,
"Profar, Jurickson",595777,2023,,,,,,,,,,
"Smith, Will",669257,2023,"56","1.91","1.9","1.97","7","1.51","1.52","1.49","0.61","82.8"
"Hayes, Ke'Bryan",663647,2023,,,,,,,,,,
"Alonso, Pete",624413,2023,,,,,,,,,,
"Díaz, Elias",553869,2023,"51","1.93","1.93","1.93","8","1.5","1.46","1.62","0.67","83.4"
"Bellinger, Cody",641355,2023,,,,,,,,,,
"Marte, Ketel",606466,2023,,,,,,,,,,
"McMahon, Ryan",641857,2023,,,,,,,,,,
"India, Jonathan",663697,2023,,,,,,,,,,
"Albies, Ozzie",645277,2023,,,,,,,,,,
"Wade Jr., LaMonte",664774,2023,,,,,,,,,,
"Díaz, Yandy",650490,2023,,,,,,,,,,
"Estrada, Thairo",642731,2023,,,,,,,,,,
"Muncy, Max",571970,2023,,,,,,,,,,
"Abreu, José",547989,2023,,,,,,,,,,
"Canha, Mark",592192,2023,,,,,,,,,,
"Machado, Manny",592518,2023,,,,,,,,,,
"Volpe, Anthony",683011,2023,,,,,,,,,,
"Turner, Trea",607208,2023,,,,,,,,,,
"Arraez, Luis",650333,2023,,,,,,,,,,
"Olson, Matt",621566,2023,,,,,,,,,,
"Bregman, Alex",608324,2023,,,,,,,,,,
"Candelario, Jeimer",600869,2023,,,,,,,,,,
"Ramírez, José",608070,2023,,,,,,,,,,
"Stephenson, Tyler",663886,2023,"36","2.01","2.02","1.96","4","1.58","1.53","1.71","0.7","82.1"
"Happ, Ian",664023,2023,,,,,,,,,,
"Casas, Triston",671213,2023,,,,,,,,,,
"Bichette, Bo",666182,2023,,,,,,,,,,
"Carroll, Corbin",682998,2023,,,,,,,,,,
"Cronenworth, Jake",630105,2023,,,,,,,,,,
"García, Adolis",666969,2023,,,,,,,,,,
"Hoerner, Nico",663538,2023,,,,,,,,,,
"Vaughn, Andrew",683734,2023,,,,,,,,,,
